id,EscapeDistance,Tail_Length,Sex,Year,Age3,Xpos,Ypos,Mother,Julian
CN06-035,46,NA,Female,2006,1,285,85,0,200
CN06-035,47,NA,Female,2006,1,295,65,0,201
CN06-036,38,NA,Female,2006,1,215,25,0,269
CN06-036,42,64,Female,2008,3,235,25,0,210
CN06-036,40,56,Female,2008,3,225,15,0,161
CN06-036,44,59,Female,2007,2,235,15,0,255
CN06-036,38,62,Female,2007,2,235,25,0,225
CN06-036,42,60,Female,2007,2,225,15,0,169
CN06-036,37,NA,Female,2006,1,225,15,0,243
CN06-036,34,58,Female,2006,1,235,25,0,199
CN06-036,37,62,Female,2006,1,235,25,0,198
CN06-036,51,64,Female,2007,2,225,15,0,197
CN06-037,49,NA,Male,2006,1,385,145,0,219
CN06-037,45,NA,Male,2006,1,385,145,0,220
CN06-037,44,NA,Male,2006,1,385,195,0,221
CN06-037,46,NA,Male,2006,1,205,85,0,228
CN06-037,50,NA,Male,2006,1,285,125,0,201
CN06-037,NA,NA,Male,2006,1,305,115,0,200
CN06-037,46,NA,Male,2006,1,225,55,0,199
CN06-037,45,54,Male,2006,1,245,55,0,198
CN06-037,42,NA,Male,2006,1,425,185,0,222
CN06-037,49,NA,Male,2006,1,385,165,0,219
CN06-038,51,61,Female,2006,1,225,55,0,198
CN06-038,50,NA,Female,2006,1,225,75,0,199
CN06-039,37,NA,Female,2006,1,225,35,0,242
CN06-039,43,64,Female,2007,2,225,55,0,169
CN06-039,43,64,Female,2007,2,225,65,0,162
CN06-039,39,NA,Female,2006,1,225,35,0,269
CN06-039,43,NA,Female,2006,1,225,35,0,268
CN06-039,34,NA,Female,2006,1,225,35,0,243
CN06-039,40,NA,Female,2006,1,215,85,0,229
CN06-039,38,NA,Female,2006,1,235,65,0,199
CN06-039,52,64,Female,2006,1,235,65,0,198
CN06-039,39,NA,Female,2006,1,215,55,0,264
CN06-040,36,NA,Female,2006,1,165,35,0,243
CN06-040,36,52,Female,2006,1,165,65,0,198
CN06-040,38,60,Female,2006,1,175,65,0,199
CN06-040,37,NA,Female,2006,1,155,25,0,219
CN06-040,36,NA,Female,2006,1,155,45,0,220
CN06-040,37,NA,Female,2006,1,175,65,0,242
CN06-041,20,NA,Female,2006,0,285,45,CN06-062,200
CN06-041,20,36,Female,2006,0,275,45,CN06-062,198
CN06-042,NA,NA,Male,2006,1,305,95,0,235
CN06-042,36,NA,Male,2006,1,315,145,0,248
CN06-042,35,NA,Male,2006,1,295,75,0,242
CN06-042,37,NA,Male,2006,1,285,115,0,235
CN06-042,40,NA,Male,2006,1,325,115,0,234
CN06-042,37,NA,Male,2006,1,275,95,0,234
CN06-042,NA,NA,Male,2006,1,325,175,0,221
CN06-042,39,NA,Male,2006,1,285,85,0,201
CN06-042,37,NA,Male,2006,1,345,115,0,200
CN06-042,38,NA,Male,2006,1,255,135,0,199
CN06-042,38,54,Male,2006,1,275,95,0,198
CN06-042,35,NA,Male,2006,1,275,75,0,243
CN06-042,38,NA,Male,2006,1,325,175,0,222
CN06-043,16,39,Male,2006,0,265,125,CN06-F12,199
CN06-044,40,57,Female,2006,1,215,35,0,199
CN06-044,NA,NA,Female,2006,1,225,15,0,242
CN06-048,28,NA,Male,2006,0,155,55,CN06-040,264
CN06-048,15,34,Male,2006,0,165,75,CN06-040,199
CN06-048,26,NA,Male,2006,0,175,85,CN06-040,228
CN06-048,27,NA,Male,2006,0,165,75,CN06-040,242
CN06-048,25,NA,Male,2006,0,165,75,CN06-040,243
CN06-048,28,NA,Male,2006,0,165,55,CN06-040,263
CN06-049,22,43,Female,2006,0,425,125,CN06-081,200
CN06-049,23,42,Female,2006,0,425,125,CN06-081,201
CN06-050,45,NA,Female,2006,1,385,155,CN05-F2,271
CN06-050,48,62,Female,2007,2,405,125,CN05-F2,275
CN06-050,40,64,Female,2007,2,385,195,CN05-F2,252
CN06-050,40,65,Female,2007,2,395,135,CN05-F2,251
CN06-050,43,64,Female,2007,2,375,175,CN05-F2,207
CN06-050,45,66,Female,2007,2,405,125,CN05-F2,206
CN06-050,43,67,Female,2007,2,405,135,CN05-F2,193
CN06-050,44,63,Female,2007,2,405,135,CN05-F2,165
CN06-050,NA,NA,Female,2006,1,405,125,CN05-F2,275
CN06-050,45,NA,Female,2006,1,395,155,CN05-F2,270
CN06-050,NA,NA,Female,2006,1,405,135,CN05-F2,250
CN06-050,41,NA,Female,2006,1,395,135,CN05-F2,249
CN06-050,44,NA,Female,2006,1,395,155,CN05-F2,247
CN06-050,46,NA,Female,2006,1,385,175,CN05-F2,222
CN06-050,44,60,Female,2006,1,395,145,CN05-F2,218
CN06-050,40,55,Female,2006,1,395,135,CN05-F2,200
CN06-050,49,61,Female,2007,2,375,165,CN05-F2,164
CN06-051,46,NA,Female,2006,1,365,145,0,248
CN06-051,42,NA,Female,2006,1,365,145,0,247
CN06-051,46,61,Female,2006,1,385,125,0,200
CN06-051,44,NA,Female,2006,1,385,135,0,201
CN06-051,46,NA,Female,2006,1,405,105,0,220
CN06-051,48,NA,Female,2006,1,355,115,0,249
CN06-052,47,54,Female,2006,1,375,125,0,200
CN06-052,46,NA,Female,2006,1,375,95,0,201
CN06-052,42,NA,Female,2006,1,335,95,0,234
CN06-052,40,NA,Female,2006,1,335,85,0,235
CN06-052,43,NA,Female,2006,1,385,105,0,250
CN06-052,45,NA,Female,2006,1,345,85,0,268
CN06-053,NA,NA,Female,2006,1,325,155,0,214
CN06-053,39,NA,Female,2006,1,335,155,0,248
CN06-053,40,NA,Female,2006,1,425,145,0,247
CN06-053,36,NA,Female,2006,1,325,75,0,243
CN06-053,36,NA,Female,2006,1,285,135,0,235
CN06-053,37,59,Female,2006,1,295,165,0,221
CN06-053,42,NA,Female,2006,1,305,125,0,201
CN06-053,43,57.5,Female,2006,1,335,135,0,200
CN06-053,35,NA,Female,2006,1,305,155,0,234
CN06-054,22,46,Male,2006,0,325,125,CN06-104,200
CN06-054,25,NA,Male,2006,0,325,125,CN06-104,201
CN06-055,44,NA,Male,2006,1,385,195,0,270
CN06-055,40,NA,Male,2006,1,395,185,0,248
CN06-055,49,58,Male,2007,2,425,185,0,207
CN06-055,49,58,Male,2007,2,335,135,0,193
CN06-055,48,58,Male,2007,2,425,175,0,164
CN06-055,47,60,Male,2006,1,305,85,0,200
CN06-055,41,NA,Male,2006,1,395,175,0,247
CN06-055,45,NA,Male,2006,1,385,185,0,221
CN06-055,49,NA,Male,2006,1,345,105,0,201
CN06-055,44,NA,Male,2006,1,385,195,0,271
CN06-056,36,58,Female,2007,2,325,75,0,165
CN06-056,37,61,Female,2007,2,365,85,0,206
CN06-056,35,NA,Female,2006,1,365,85,0,250
CN06-056,36,NA,Female,2006,1,375,105,0,249
CN06-056,35,NA,Female,2006,1,375,105,0,201
CN06-056,36,52,Female,2006,1,375,105,0,200
CN06-058,42,NA,Male,2006,1,425,185,0,221
CN06-058,41,NA,Male,2006,1,425,175,0,222
CN06-058,45,57,Male,2006,1,415,115,0,201
CN06-059,42,56,Female,2007,1,355,155,CN06-051,194
CN06-059,38,54,Female,2007,1,385,125,CN06-051,193
CN06-059,35,56,Female,2007,1,385,125,CN06-051,275
CN06-059,38,57,Female,2007,1,345,155,CN06-051,252
CN06-059,34,58,Female,2007,1,355,135,CN06-051,251
CN06-059,40,54,Female,2007,1,355,135,CN06-051,206
CN06-059,36,52,Female,2007,1,365,165,CN06-051,164
CN06-059,45,56,Female,2007,1,375,145,CN06-051,207
CN06-059,29,NA,Female,2006,0,365,135,CN06-051,274
CN06-059,29,NA,Female,2006,0,365,145,CN06-051,270
CN06-059,27,NA,Female,2006,0,385,125,CN06-051,250
CN06-059,29,NA,Female,2006,0,365,135,CN06-051,249
CN06-059,19,39,Female,2006,0,385,115,CN06-051,201
CN06-059,38,57,Female,2007,1,375,135,CN06-051,165
CN06-060,17,40,Male,2006,0,375,85,CN06-052,201
CN06-060,34,NA,Male,2006,0,375,95,CN06-052,249
CN06-060,29,NA,Male,2006,0,355,85,CN06-052,250
CN06-061,40,59,Male,2006,1,365,95,0,201
CN06-062,51,58,Female,2006,1,285,45,0,201
CN06-063,50,66,Male,2006,1,305,65,0,201
CN06-064,NA,NA,Male,2006,1,325,165,0,214
CN06-064,43,NA,Male,2006,1,305,145,0,221
CN06-064,47,NA,Male,2006,1,315,175,0,222
CN06-064,48,55,Male,2006,1,305,85,0,201
CN06-065,47,64,Male,2008,2,45,65,CN06-F12,161
CN06-065,42,63,Male,2008,2,45,55,CN06-F12,238
CN06-065,46,64,Male,2008,2,45,85,CN06-F12,211
CN06-065,47,68,Male,2008,2,45,115,CN06-F12,204
CN06-065,52,64,Male,2008,2,55,75,CN06-F12,191
CN06-065,38,61,Male,2007,1,35,55,CN06-F12,255
CN06-065,48,64,Male,2008,2,85,85,CN06-F12,162
CN06-065,43,61,Male,2008,2,35,95,CN06-F12,239
CN06-065,45,57,Male,2007,1,35,85,CN06-F12,256
CN06-065,40,62,Male,2007,1,235,55,CN06-F12,197
CN06-065,43,62,Male,2007,1,195,125,CN06-F12,170
CN06-065,40,56,Male,2007,1,175,85,CN06-F12,163
CN06-065,43,61,Male,2007,1,225,75,CN06-F12,162
CN06-065,32,NA,Male,2006,0,285,55,CN06-F12,269
CN06-065,27,NA,Male,2006,0,285,75,CN06-F12,242
CN06-065,27,NA,Male,2006,0,295,85,CN06-F12,235
CN06-065,28,52,Male,2006,0,285,85,CN06-F12,234
CN06-065,14,39,Male,2006,0,285,115,CN06-F12,201
CN06-065,49,63,Male,2008,2,95,45,CN06-F12,191
CN06-065,40,62,Male,2007,1,205,95,CN06-F12,198
CN06-066,22,43,Male,2006,0,295,125,CN06-F13,201
CN06-067,20,48,Male,2006,0,295,135,CN06-F13,201
CN06-067,24,56,Male,2006,0,305,145,CN06-F13,214
CN06-068,23,48,Male,2006,0,335,135,CN06-104,201
CN06-069,19,51,Male,2006,0,305,155,CN06-053,214
CN06-070,NA,49,Male,2006,0,305,165,CN06-053,214
CN06-071,45,57,Female,2006,1,385,165,CN05-F2,218
CN06-071,NA,NA,Female,2006,1,395,165,CN05-F2,219
CN06-071,41,NA,Female,2006,1,385,165,CN05-F2,220
CN06-071,44,NA,Female,2006,1,375,175,CN05-F2,221
CN06-071,43,NA,Female,2006,1,385,195,CN05-F2,222
CN06-071,37,NA,Female,2006,1,385,175,CN05-F2,248
CN06-073,30,NA,Male,2006,0,365,115,CN06-050,249
CN06-073,22,NA,Male,2006,0,395,145,CN06-050,220
CN06-073,24,53,Male,2006,0,385,155,CN06-050,219
CN06-073,31,NA,Male,2006,0,385,155,CN06-050,270
CN06-074,26,49,Male,2006,0,425,155,CN06-076,219
CN06-075,NA,49,Male,2006,0,425,145,CN06-076,219
CN06-075,27,47,Male,2006,0,425,155,CN06-076,220
CN06-076,40,63,Female,2006,1,435,145,0,219
CN06-076,36,NA,Female,2006,1,435,155,0,220
CN06-077,53,NA,Female,2006,1,425,175,0,248
CN06-077,49,NA,Female,2006,1,425,165,0,270
CN06-077,50,NA,Female,2006,1,405,185,0,247
CN06-077,47,NA,Female,2006,1,395,175,0,221
CN06-077,50,NA,Female,2006,1,435,165,0,220
CN06-077,44,61,Female,2006,1,435,165,0,219
CN06-077,49,NA,Female,2006,1,385,215,0,222
CN06-077,49,NA,Female,2006,1,385,185,0,271
CN06-078,22,44,Female,2006,0,385,165,CN06-071,219
CN06-078,24,NA,Female,2006,0,365,175,CN06-071,222
CN06-079,NA,NA,Male,2006,0,375,145,CN06-108,219
CN06-080,NA,NA,Female,2006,1,435,135,CN05-F4,275
CN06-080,40,NA,Female,2006,1,435,145,CN05-F4,271
CN06-080,40,NA,Female,2006,1,435,155,CN05-F4,270
CN06-080,38,NA,Female,2006,1,435,145,CN05-F4,247
CN06-080,44,55,Female,2006,1,435,135,CN05-F4,219
CN06-080,42,NA,Female,2006,1,435,135,CN05-F4,220
CN06-081,46,NA,Female,2006,1,445,145,0,247
CN06-081,NA,NA,Female,2006,1,435,95,0,275
CN06-081,51,54,Female,2006,1,445,135,0,219
CN06-081,47,NA,Female,2006,1,455,125,0,250
CN06-081,44,NA,Female,2006,1,445,125,0,249
CN06-082,27,49,Male,2006,0,435,115,CN06-094,219
CN06-082,26,NA,Male,2006,0,415,95,CN06-094,220
CN06-083,38,54,Female,2006,1,445,85,CN05-F5,219
CN06-084,41,NA,Female,2006,1,445,85,0,249
CN06-084,38,NA,Female,2006,1,445,95,0,250
CN06-084,37,NA,Female,2006,1,435,95,0,220
CN06-084,57,56,Female,2006,1,445,95,0,219
CN06-084,NA,NA,Female,2006,1,445,95,0,275
CN06-085,43,NA,Male,2006,1,395,85,0,250
CN06-085,36,60,Male,2006,1,425,95,0,219
CN06-085,38,NA,Male,2006,1,445,95,0,249
CN06-086,44,NA,Male,2006,1,365,105,0,249
CN06-086,38,NA,Male,2006,1,365,135,0,275
CN06-086,41,NA,Male,2006,1,325,75,0,269
CN06-086,43,NA,Male,2006,1,365,95,0,250
CN06-086,42,NA,Male,2006,1,305,75,0,242
CN06-086,38,NA,Male,2006,1,305,85,0,235
CN06-086,45,NA,Male,2006,1,305,85,0,234
CN06-086,39,55,Male,2006,1,415,105,0,219
CN06-086,39,52,Male,2006,1,385,155,0,220
CN06-087,36,62,Male,2007,1,25,55,CN06-040,169
CN06-087,40,60,Male,2007,1,25,85,CN06-040,198
CN06-087,28,49,Male,2006,0,165,65,CN06-040,242
CN06-087,34,67,Male,2007,1,35,45,CN06-040,197
CN06-087,36,58,Male,2007,1,45,75,CN06-040,225
CN06-087,34,58,Male,2007,1,115,85,CN06-040,170
CN06-087,35,59,Male,2007,1,35,55,CN06-040,162
CN06-087,27,NA,Male,2006,0,135,55,CN06-040,264
CN06-087,30,NA,Male,2006,0,165,65,CN06-040,243
CN06-087,23,49,Male,2006,0,155,65,CN06-040,219
CN06-087,28,NA,Male,2006,0,155,65,CN06-040,263
CN06-087,38,56,Male,2007,1,35,85,CN06-040,163
CN06-088,50,NA,Female,2006,1,135,105,CN05-F6,227
CN06-088,48,NA,Female,2006,1,135,85,CN05-F6,228
CN06-088,46,58,Female,2006,1,135,75,CN05-F6,219
CN06-088,43,NA,Female,2006,1,135,85,CN05-F6,229
CN06-089,27,NA,Female,2006,0,115,95,CN06-021,228
CN06-089,42,63,Female,2008,2,135,95,CN06-021,211
CN06-089,48,62,Female,2008,2,135,65,CN06-021,191
CN06-089,48,58,Female,2008,2,125,55,CN06-021,161
CN06-089,45,64,Female,2008,2,135,85,CN06-021,204
CN06-089,52,64,Female,2008,2,135,55,CN06-021,210
CN06-089,46,61,Female,2008,2,135,75,CN06-021,238
CN06-089,46,NA,Female,2008,2,135,85,CN06-021,239
CN06-089,45,62,Female,2008,2,125,45,CN06-021,260
CN06-089,44,61,Female,2008,2,115,85,CN06-021,261
CN06-089,46,58,Female,2008,2,95,45,CN06-021,161
CN06-089,NA,NA,Female,2008,2,135,55,CN06-021,260
CN06-089,34,NA,Female,2006,0,125,75,CN06-021,263
CN06-089,47,54,Female,2007,1,125,85,CN06-021,256
CN06-089,24,NA,Female,2006,0,115,75,CN06-021,220
CN06-089,34,NA,Female,2006,0,105,95,CN06-021,255
CN06-089,26,47,Female,2006,0,105,75,CN06-021,219
CN06-089,31,NA,Female,2006,0,115,65,CN06-021,264
CN06-089,48,53,Female,2007,1,155,55,CN06-021,255
CN06-089,46,60,Female,2007,1,95,45,CN06-021,169
CN06-089,48,66,Female,2007,1,125,65,CN06-021,197
CN06-089,41,58,Female,2007,1,135,65,CN06-021,225
CN06-089,45,60,Female,2007,1,125,95,CN06-021,226
CN06-089,42,NA,Female,2007,1,125,65,CN06-021,162
CN06-090,24,44,Female,2006,0,115,75,CN06-021,219
CN06-090,27,NA,Female,2006,0,105,85,CN06-021,228
CN06-090,25,NA,Female,2006,0,125,85,CN06-021,229
CN06-092,42,NA,Female,2007,1,55,85,CN06-F5,170
CN06-092,44,61,Female,2007,1,45,65,CN06-F5,169
CN06-092,44,54,Female,2007,1,65,85,CN06-F5,256
CN06-092,32,58,Female,2007,1,65,65,CN06-F5,255
CN06-092,47,65,Female,2007,1,65,85,CN06-F5,226
CN06-092,43,58,Female,2007,1,65,65,CN06-F5,225
CN06-092,42,58,Female,2007,1,55,85,CN06-F5,198
CN06-092,18,NA,Female,2006,0,105,45,CN06-F5,219
CN06-092,44,54,Female,2007,1,55,85,CN06-F5,163
CN06-092,44,64,Female,2007,1,55,55,CN06-F5,162
CN06-092,28,NA,Female,2006,0,65,55,CN06-F5,264
CN06-092,28,NA,Female,2006,0,95,55,CN06-F5,263
CN06-092,30,47,Female,2006,0,55,85,CN06-F5,255
CN06-092,42,68,Female,2007,1,75,65,CN06-F5,197
CN06-094,NA,NA,Female,2006,1,425,115,CN05-F4,275
CN06-094,42,59,Female,2007,2,425,105,CN05-F4,165
CN06-094,40,NA,Female,2006,1,435,115,CN05-F4,250
CN06-094,38,NA,Female,2006,1,415,125,CN05-F4,249
CN06-094,40,55,Female,2006,1,415,105,CN05-F4,220
CN06-095,42,NA,Female,2006,1,455,95,CN05-F5,249
CN06-095,45,50,Female,2006,1,445,85,CN05-F5,220
CN06-096,26,51,Female,2006,0,445,125,CN06-080,220
CN06-098,21,46,Male,2006,0,415,165,CN06-077,220
CN06-100,24,NA,Male,2006,0,375,155,CN06-F14,220
CN06-100,24,NA,Male,2006,0,365,185,CN06-F14,222
CN06-100,29,NA,Male,2006,0,365,175,CN06-F14,247
CN06-100,31,NA,Male,2006,0,365,185,CN06-F14,248
CN06-102,26,NA,Female,2006,0,325,125,CN06-088,234
CN06-102,25,NA,Female,2006,0,325,125,CN06-088,235
CN06-102,22,42,Female,2006,0,305,155,CN06-088,221
CN06-102,25,NA,Female,2006,0,315,145,CN06-088,247
CN06-104,48,61,Female,2007,2,325,155,0,194
CN06-104,44,63,Female,2007,2,335,135,0,275
CN06-104,39,58,Female,2007,2,325,145,0,252
CN06-104,42,61,Female,2007,2,345,105,0,251
CN06-104,47,59,Female,2007,2,315,105,0,250
CN06-104,49,61,Female,2007,2,335,135,0,206
CN06-104,48,61,Female,2007,2,335,115,0,193
CN06-104,44,61,Female,2007,2,335,135,0,165
CN06-104,59,54,Female,2007,2,315,175,0,164
CN06-104,38,NA,Female,2006,1,325,185,0,271
CN06-104,44,NA,Female,2006,1,325,155,0,270
CN06-104,37,NA,Female,2006,1,325,185,0,248
CN06-104,36,NA,Female,2006,1,325,185,0,247
CN06-104,44,NA,Female,2006,1,305,145,0,235
CN06-104,49,55,Female,2006,1,325,165,0,221
CN06-104,46,61,Female,2007,2,315,155,0,207
CN06-105,21,43,Female,2006,0,315,175,CN06-104,221
CN06-105,33,NA,Female,2006,0,325,165,CN06-104,247
CN06-105,NA,NA,Female,2006,0,315,175,CN06-104,270
CN06-106,22,46,Male,2006,0,325,185,CN06-104,221
CN06-106,43,62,Male,2007,1,385,195,CN06-104,194
CN06-106,46,57,Male,2007,1,385,185,CN06-104,164
CN06-106,28,NA,Male,2006,0,315,125,CN06-104,234
CN06-106,28,NA,Male,2006,0,315,125,CN06-104,235
CN06-107,28,50,Male,2006,0,365,155,CN06-108,221
CN06-107,25,49,Male,2006,0,365,145,CN06-108,222
CN06-108,42,NA,Female,2006,1,345,145,0,248
CN06-108,43,NA,Female,2006,1,355,135,0,275
CN06-108,43,NA,Female,2006,1,335,135,0,274
CN06-108,49,NA,Female,2006,1,345,145,0,271
CN06-108,46,NA,Female,2006,1,355,145,0,270
CN06-108,42,NA,Female,2006,1,345,95,0,269
CN06-108,42,NA,Female,2006,1,355,105,0,268
CN06-108,45,NA,Female,2006,1,345,125,0,249
CN06-108,43,NA,Female,2006,1,345,145,0,247
CN06-108,46,NA,Female,2006,1,335,105,0,235
CN06-108,44,NA,Female,2006,1,335,125,0,234
CN06-108,45,NA,Female,2006,1,365,155,0,222
CN06-108,48,54.5,Female,2006,1,365,145,0,221
CN06-108,45,NA,Female,2006,1,345,105,0,250
CN06-109,27,NA,Female,2006,0,385,185,CN06-F14,248
CN06-109,32,NA,Female,2006,0,375,175,CN06-F14,270
CN06-109,48,58,Female,2007,1,395,175,CN06-F14,164
CN06-109,30,NA,Female,2006,0,385,175,CN06-F14,247
CN06-109,27,44,Female,2006,0,365,175,CN06-F14,221
CN06-109,26,NA,Female,2006,0,375,175,CN06-F14,222
CN06-109,27,NA,Female,2006,0,375,155,CN06-F14,271
CN06-110,30,NA,Female,2006,0,365,175,CN06-F14,248
CN06-110,48,59,Female,2007,1,375,175,CN06-F14,164
CN06-110,32,NA,Female,2006,0,345,135,CN06-F14,275
