id Weight Body_Length Tail_Length Sex Calendar_year Age Who Cohort Cell ID_Trapping_Session Wolfgruoben Xpos Ypos Year Origin Julian RelativeJulian Mother fitnessR animal Age3 YoungWeight AdWeight Ad1Weight Ad2Weight f LRS BMI
CN06-013 39 NA 58 Female 2006 A PW 2004 Q4 3 FALSE 35 95 2006 2006-01-01 164 20 0 1.96834532374101 CN06-013 2 NA 39 NA 39 0 3 NA
CN06-014 40 NA 51 Female 2006 A PW 2005 R3 3 FALSE 25 85 2006 2006-01-01 164 20 0 1.31223021582734 CN06-014 1 NA 40 40 NA 0 2 NA
CN06-014 39 NA NA Female 2006 A PW 2005 T5 7 FALSE 45 65 2006 2006-01-01 186 42 0 1.31223021582734 CN06-014 1 NA 39 39 NA 0 2 NA
CN06-015 47 NA 57 Male 2006 A PW 2005 R5 3 FALSE 45 85 2006 2006-01-01 164 20 0 3.28057553956835 CN06-015 1 NA 47 47 NA 0 5 NA
CN06-015 49 NA 58 Male 2006 A PW 2005 S6 15 FALSE 55 75 2006 2006-01-01 219 75 0 3.28057553956835 CN06-015 1 NA 49 49 NA 0 5 NA
CN06-015 41 NA 56 Male 2006 A SR 2005 N5 23 FALSE 45 125 2006 2006-01-01 228 84 0 3.28057553956835 CN06-015 1 NA 41 41 NA 0 5 NA
CN06-017 42 NA 52 Male 2006 A PW 2005 P7 3 FALSE 65 105 2006 2006-01-01 164 20 0 2.62446043165468 CN06-017 1 NA 42 42 NA 0 4 NA
CN06-017 35 NA 52.5 Male 2006 A SR 2005 T12 17 FALSE 115 65 2006 2006-01-01 220 76 0 2.62446043165468 CN06-017 1 NA 35 35 NA 0 4 NA
CN06-017 42 NA NA Male 2006 A PW 2005 U12 15 FALSE 115 55 2006 2006-01-01 219 75 0 2.62446043165468 CN06-017 1 NA 42 42 NA 0 4 NA
CN06-017 43 NA NA Male 2006 A PW 2005 Q7 4 FALSE 65 95 2006 2006-01-01 165 21 0 2.62446043165468 CN06-017 1 NA 43 43 NA 0 4 NA
CN06-017 47 NA 56 Male 2006 A PW 2005 U10 7 FALSE 95 55 2006 2006-01-01 186 42 0 2.62446043165468 CN06-017 1 NA 47 47 NA 0 4 NA
CN06-018 41 NA NA Male 2006 A PW 2005 R4 4 FALSE 35 85 2006 2006-01-01 165 21 0 3.28057553956835 CN06-018 1 NA 41 41 NA 0 5 NA
CN06-018 35 NA NA Male 2006 A SR/PW/TB 2005 Q4 24 FALSE 35 95 2006 2006-01-01 229 85 0 3.28057553956835 CN06-018 1 NA 35 35 NA 0 5 NA
CN06-018 38 NA NA Male 2006 A SR/PW/TB 2005 Q4 23 FALSE 35 95 2006 2006-01-01 228 84 0 3.28057553956835 CN06-018 1 NA 38 38 NA 0 5 NA
CN06-018 42 NA NA Male 2006 A SR/PW/TB 2005 Q5 22 FALSE 45 95 2006 2006-01-01 227 83 0 3.28057553956835 CN06-018 1 NA 42 42 NA 0 5 NA
CN06-018 NA NA NA Male 2006 A SR/PW 2005 T3 17 FALSE 25 65 2006 2006-01-01 220 76 0 3.28057553956835 CN06-018 1 NA NA NA NA 0 5 NA
CN06-018 37 NA NA Male 2006 A PW 2005 S5 7 FALSE 45 75 2006 2006-01-01 186 42 0 3.28057553956835 CN06-018 1 NA 37 37 NA 0 5 NA
CN06-018 42 NA 53 Male 2006 A PW 2005 R4 3 FALSE 35 85 2006 2006-01-01 164 20 0 3.28057553956835 CN06-018 1 NA 42 42 NA 0 5 NA
CN06-018 NA NA NA Male 2006 A SR/PW 2005 T4 15 FALSE 35 65 2006 2006-01-01 219 75 0 3.28057553956835 CN06-018 1 NA NA NA NA 0 5 NA
CN06-021 42 NA NA Female 2006 A SR/PW/TB 2005 Q11 24 FALSE 105 95 2006 2006-01-01 229 85 0 2.62446043165468 CN06-021 1 NA 42 42 NA 0 4 NA
CN06-021 40 NA 30 Female 2006 A PW 2005 Q10 4 FALSE 95 95 2006 2006-01-01 165 21 0 2.62446043165468 CN06-021 1 NA 40 40 NA 0 4 NA
CN06-021 NA NA NA Female 2006 A PW 2005 R12 7 FALSE 115 85 2006 2006-01-01 186 42 0 2.62446043165468 CN06-021 1 NA NA NA NA 0 4 NA
CN06-021 44 NA 30 Female 2006 A SR/PW 2005 T10 15 FALSE 95 65 2006 2006-01-01 219 75 0 2.62446043165468 CN06-021 1 NA 44 44 NA 0 4 NA
CN06-021 40 NA 30 Female 2006 A SR/PW 2005 T10 17 FALSE 95 65 2006 2006-01-01 220 76 0 2.62446043165468 CN06-021 1 NA 40 40 NA 0 4 NA
CN06-021 44 NA NA Female 2006 A SR/PW/TB 2005 R13 23 FALSE 125 85 2006 2006-01-01 228 84 0 2.62446043165468 CN06-021 1 NA 44 44 NA 0 4 NA
CN06-023 40 NA NA Female 2006 A SR/MW 2005 O6 34 FALSE 55 115 2006 2006-01-01 255 111 CN06-013 1.96834532374101 CN06-023 1 NA 40 40 NA 0 3 NA
CN06-023 37 NA NA Female 2006 A SR/MW 2005 O5 33 FALSE 45 115 2006 2006-01-01 254 110 CN06-013 1.96834532374101 CN06-023 1 NA 37 37 NA 0 3 NA
CN06-023 38 NA NA Female 2006 A SR/PW/TB 2005 N6 24 FALSE 55 125 2006 2006-01-01 229 85 CN06-013 1.96834532374101 CN06-023 1 NA 38 38 NA 0 3 NA
CN06-023 36 NA 52 Female 2006 A PW 2005 M6 4 FALSE 55 135 2006 2006-01-01 165 21 CN06-013 1.96834532374101 CN06-023 1 NA 36 36 NA 0 3 NA
CN06-024 38 NA 56 Female 2006 A PW 2005 M4 4 FALSE 35 135 2006 2006-01-01 165 21 0 0.656115107913669 CN06-024 1 NA 38 38 NA 0 1 NA
CN06-024 39 NA NA Female 2006 A SR/PW/TB 2005 L5 23 FALSE 45 145 2006 2006-01-01 228 84 0 0.656115107913669 CN06-024 1 NA 39 39 NA 0 1 NA
CN06-025 40 121 59 Female 2007 A JR 2005 O21 44 FALSE 205 115 2007 2007-01-01 163 19 0 6.56115107913669 CN06-025 2 NA 40 NA 40 0 10 0.330578512396694
CN06-025 33 124 71 Female 2007 A PW 2005 O20 57 FALSE 195 115 2007 2007-01-01 250 106 0 6.56115107913669 CN06-025 2 NA 33 NA 33 0 10 0.266129032258065
CN06-025 41 125 63 Female 2007 A PW 2005 P20 48 FALSE 195 105 2007 2007-01-01 170 26 0 6.56115107913669 CN06-025 2 NA 41 NA 41 0 10 0.328
CN06-025 40 NA NA Female 2006 A PW/SR 2005 O20 36 FALSE 195 115 2006 2006-01-01 264 120 0 6.56115107913669 CN06-025 1 NA 40 40 NA 0 10 NA
CN06-025 40 NA NA Female 2006 A PW/SR 2005 N21 35 FALSE 205 125 2006 2006-01-01 263 119 0 6.56115107913669 CN06-025 1 NA 40 40 NA 0 10 NA
CN06-025 40 NA NA Female 2006 A SR/PW 2005 S20 27 FALSE 195 75 2006 2006-01-01 242 98 0 6.56115107913669 CN06-025 1 NA 40 40 NA 0 10 NA
CN06-025 42 NA NA Female 2006 A SR/PW/TB 2005 R20 22 FALSE 195 85 2006 2006-01-01 227 83 0 6.56115107913669 CN06-025 1 NA 42 42 NA 0 10 NA
CN06-025 47 NA 64 Female 2006 A PW 2005 S21 9 FALSE 205 75 2006 2006-01-01 199 55 0 6.56115107913669 CN06-025 1 NA 47 47 NA 0 10 NA
CN06-025 49 NA 64 Female 2006 A PW 2005 P20 5 FALSE 195 105 2006 2006-01-01 184 40 0 6.56115107913669 CN06-025 1 NA 49 49 NA 0 10 NA
CN06-025 41 NA NA Female 2006 A SR/UK 2005 S20 28 FALSE 195 75 2006 2006-01-01 243 99 0 6.56115107913669 CN06-025 1 NA 41 41 NA 0 10 NA
CN06-025 39 126 64 Female 2007 A PW 2005 O20 52 FALSE 195 115 2007 2007-01-01 198 54 0 6.56115107913669 CN06-025 2 NA 39 NA 39 0 10 0.30952380952381
CN06-027 49 119 64 Male 2007 A PW 2005 T16 55 FALSE 155 65 2007 2007-01-01 225 81 0 9.84172661870504 CN06-027 2 NA 49 NA 49 0 15 0.411764705882353
CN06-027 45 118 60 Male 2007 A PW 2005 U15 43 FALSE 145 55 2007 2007-01-01 162 18 0 9.84172661870504 CN06-027 2 NA 45 NA 45 0 15 0.38135593220339
CN06-027 46 121 58 Male 2007 A JR 2005 R17 44 FALSE 165 85 2007 2007-01-01 163 19 0 9.84172661870504 CN06-027 2 NA 46 NA 46 0 15 0.380165289256198
CN06-027 46 119 56 Male 2007 A JR 2005 U16 47 FALSE 155 55 2007 2007-01-01 169 25 0 9.84172661870504 CN06-027 2 NA 46 NA 46 0 15 0.38655462184874
CN06-027 47 122 61 Male 2007 A PW 2005 R15 48 FALSE 145 85 2007 2007-01-01 170 26 0 9.84172661870504 CN06-027 2 NA 47 NA 47 0 15 0.385245901639344
CN06-027 46 118 68 Male 2007 A JR 2005 U12 51 FALSE 115 55 2007 2007-01-01 197 53 0 9.84172661870504 CN06-027 2 NA 46 NA 46 0 15 0.389830508474576
CN06-027 47 116 63 Male 2007 A PW 2005 Q15 52 FALSE 145 95 2007 2007-01-01 198 54 0 9.84172661870504 CN06-027 2 NA 47 NA 47 0 15 0.405172413793103
CN06-027 48 116 60 Male 2007 A JR 2005 R16 56 FALSE 155 85 2007 2007-01-01 226 82 0 9.84172661870504 CN06-027 2 NA 48 NA 48 0 15 0.413793103448276
CN06-027 46 NA NA Male 2006 A PW/SR 2005 W22 38 FALSE 215 35 2006 2006-01-01 269 125 0 9.84172661870504 CN06-027 1 NA 46 46 NA 0 15 NA
CN06-027 NA NA NA Male 2006 A PW 2005 S23 8 FALSE 225 75 2006 2006-01-01 198 54 0 9.84172661870504 CN06-027 1 NA NA NA NA 0 15 NA
CN06-027 44 NA NA Male 2006 A PW/SR 2005 R21 35 FALSE 205 85 2006 2006-01-01 263 119 0 9.84172661870504 CN06-027 1 NA 44 44 NA 0 15 NA
CN06-027 40 NA NA Male 2006 A SR/UK 2005 S21 28 FALSE 205 75 2006 2006-01-01 243 99 0 9.84172661870504 CN06-027 1 NA 40 40 NA 0 15 NA
CN06-027 NA NA NA Male 2006 A SR/PW 2005 V22 27 FALSE 215 45 2006 2006-01-01 242 98 0 9.84172661870504 CN06-027 1 NA NA NA NA 0 15 NA
CN06-027 43 NA NA Male 2006 A SR/PW 2005 T20 27 FALSE 195 65 2006 2006-01-01 242 98 0 9.84172661870504 CN06-027 1 NA 43 43 NA 0 15 NA
CN06-027 43 NA NA Male 2006 A SR/PW/TB 2005 R21 24 FALSE 205 85 2006 2006-01-01 229 85 0 9.84172661870504 CN06-027 1 NA 43 43 NA 0 15 NA
CN06-027 41 NA NA Male 2006 A PW 2005 T17 9 FALSE 165 65 2006 2006-01-01 199 55 0 9.84172661870504 CN06-027 1 NA 41 41 NA 0 15 NA
CN06-027 40 NA NA Male 2006 A PW/SR 2005 S21 36 FALSE 205 75 2006 2006-01-01 264 120 0 9.84172661870504 CN06-027 1 NA 40 40 NA 0 15 NA
CN06-027 46 NA 60 Male 2006 A PW 2005 O21 6 FALSE 205 115 2006 2006-01-01 185 41 0 9.84172661870504 CN06-027 1 NA 46 46 NA 0 15 NA
CN06-027 45 NA NA Male 2006 A SR/PW/TB 2005 O21 23 FALSE 205 115 2006 2006-01-01 228 84 0 9.84172661870504 CN06-027 1 NA 45 45 NA 0 15 NA
CN06-028 19 NA 46 Female 2006 J PW 2006 P22 6 FALSE 215 105 2006 2006-01-01 185 41 CN06-025 0 CN06-028 0 19 NA NA NA 0 0 NA
CN06-033 41 NA 55 Female 2006 A PW 2005 M26 8 FALSE 255 135 2006 2006-01-01 198 54 0 1.31223021582734 CN06-033 1 NA 41 41 NA 0 2 NA
CN06-033 NA NA NA Female 2006 A UK/SR 2005 N29 42 FALSE 285 125 2006 2006-01-01 275 131 0 1.31223021582734 CN06-033 1 NA NA NA NA 0 2 NA
CN06-033 37 NA NA Female 2006 A PW/SR 2005 Q28 38 FALSE 275 95 2006 2006-01-01 269 125 0 1.31223021582734 CN06-033 1 NA 37 37 NA 0 2 NA
CN06-033 36 NA NA Female 2006 A SR/UK 2005 T29 28 FALSE 285 65 2006 2006-01-01 243 99 0 1.31223021582734 CN06-033 1 NA 36 36 NA 0 2 NA
CN06-033 37 NA NA Female 2006 A SR/PW 2005 S28 27 FALSE 275 75 2006 2006-01-01 242 98 0 1.31223021582734 CN06-033 1 NA 37 37 NA 0 2 NA
CN06-033 35 NA NA Female 2006 A SR/PW 2005 O27 26 FALSE 265 115 2006 2006-01-01 235 91 0 1.31223021582734 CN06-033 1 NA 35 35 NA 0 2 NA
CN06-033 38 NA NA Female 2006 A SR/PW 2005 M26 25 FALSE 255 135 2006 2006-01-01 234 90 0 1.31223021582734 CN06-033 1 NA 38 38 NA 0 2 NA
CN06-033 NA NA NA Female 2006 A PW 2005 S29 11 FALSE 285 75 2006 2006-01-01 201 57 0 1.31223021582734 CN06-033 1 NA NA NA NA 0 2 NA
CN06-033 42 NA NA Female 2006 A PW 2005 L26 9 FALSE 255 145 2006 2006-01-01 199 55 0 1.31223021582734 CN06-033 1 NA 42 42 NA 0 2 NA
CN06-033 41 NA NA Female 2006 A PW 2005 S29 10 FALSE 285 75 2006 2006-01-01 200 56 0 1.31223021582734 CN06-033 1 NA 41 41 NA 0 2 NA
CN06-034 34 NA NA Female 2006 A SR/PW 2005 O29 25 FALSE 285 115 2006 2006-01-01 234 90 0 1.31223021582734 CN06-034 1 NA 34 34 NA 0 2 NA
CN06-034 36 NA 54 Female 2006 A PW 2005 N27 8 FALSE 265 125 2006 2006-01-01 198 54 0 1.31223021582734 CN06-034 1 NA 36 36 NA 0 2 NA
CN06-034 38 NA NA Female 2006 A PW 2005 N32 10 FALSE 315 125 2006 2006-01-01 200 56 0 1.31223021582734 CN06-034 1 NA 38 38 NA 0 2 NA
CN06-034 34 NA NA Female 2006 A PW 2005 Q32 11 FALSE 315 95 2006 2006-01-01 201 57 0 1.31223021582734 CN06-034 1 NA 34 34 NA 0 2 NA
CN06-035 49 NA 54 Female 2006 A PW 2005 Q28 8 FALSE 275 95 2006 2006-01-01 198 54 0 0 CN06-035 1 NA 49 49 NA 0 0 NA
CN06-035 45 NA NA Female 2006 A PW 2005 R28 9 FALSE 275 85 2006 2006-01-01 199 55 0 0 CN06-035 1 NA 45 45 NA 0 0 NA
CN06-035 46 NA NA Female 2006 A PW 2005 R29 10 FALSE 285 85 2006 2006-01-01 200 56 0 0 CN06-035 1 NA 46 46 NA 0 0 NA
CN06-035 47 NA NA Female 2006 A PW 2005 T30 11 FALSE 295 65 2006 2006-01-01 201 57 0 0 CN06-035 1 NA 47 47 NA 0 0 NA
CN06-036 38 NA NA Female 2006 A PW/SR 2005 X22 38 FALSE 215 25 2006 2006-01-01 269 125 0 1.96834532374101 CN06-036 1 NA 38 38 NA 0 3 NA
CN06-036 42 117 64 Female 2008 A PW 2005 X24 73 FALSE 235 25 2008 2008-01-01 210 66 0 1.96834532374101 CN06-036 3 NA 42 NA 42 0 3 0.358974358974359
CN06-036 40 117 56 Female 2008 A PW 2005 Y23 64 FALSE 225 15 2008 2008-01-01 161 17 0 1.96834532374101 CN06-036 3 NA 40 NA 40 0 3 0.341880341880342
CN06-036 44 113 59 Female 2007 A JR 2005 Y24 60 FALSE 235 15 2007 2007-01-01 255 111 0 1.96834532374101 CN06-036 2 NA 44 NA 44 0 3 0.389380530973451
CN06-036 38 118 62 Female 2007 A PW 2005 X24 55 FALSE 235 25 2007 2007-01-01 225 81 0 1.96834532374101 CN06-036 2 NA 38 NA 38 0 3 0.322033898305085
CN06-036 42 117 60 Female 2007 A JR 2005 Y23 47 FALSE 225 15 2007 2007-01-01 169 25 0 1.96834532374101 CN06-036 2 NA 42 NA 42 0 3 0.358974358974359
CN06-036 37 NA NA Female 2006 A SR/UK 2005 Y23 28 FALSE 225 15 2006 2006-01-01 243 99 0 1.96834532374101 CN06-036 1 NA 37 37 NA 0 3 NA
CN06-036 34 NA 58 Female 2006 A PW 2005 X24 9 FALSE 235 25 2006 2006-01-01 199 55 0 1.96834532374101 CN06-036 1 NA 34 34 NA 0 3 NA
CN06-036 37 NA 62 Female 2006 A PW 2005 X24 8 FALSE 235 25 2006 2006-01-01 198 54 0 1.96834532374101 CN06-036 1 NA 37 37 NA 0 3 NA
CN06-036 51 112 64 Female 2007 A JR 2005 Y23 51 FALSE 225 15 2007 2007-01-01 197 53 0 1.96834532374101 CN06-036 2 NA 51 NA 51 0 3 0.455357142857143
CN06-037 49 NA NA Male 2006 A SR/PW 2005 L39 14 FALSE 385 145 2006 2006-01-01 219 75 0 2.62446043165468 CN06-037 1 NA 49 49 NA 0 4 NA
CN06-037 45 NA NA Male 2006 A SR/PW 2005 L39 16 FALSE 385 145 2006 2006-01-01 220 76 0 2.62446043165468 CN06-037 1 NA 45 45 NA 0 4 NA
CN06-037 44 NA NA Male 2006 A SR/PW 2005 G39 18 FALSE 385 195 2006 2006-01-01 221 77 0 2.62446043165468 CN06-037 1 NA 44 44 NA 0 4 NA
CN06-037 46 NA NA Male 2006 A SR/PW/TB 2005 R21 23 FALSE 205 85 2006 2006-01-01 228 84 0 2.62446043165468 CN06-037 1 NA 46 46 NA 0 4 NA
CN06-037 50 NA NA Male 2006 A PW 2005 N29 11 FALSE 285 125 2006 2006-01-01 201 57 0 2.62446043165468 CN06-037 1 NA 50 50 NA 0 4 NA
CN06-037 NA NA NA Male 2006 A PW 2005 O31 10 FALSE 305 115 2006 2006-01-01 200 56 0 2.62446043165468 CN06-037 1 NA NA NA NA 0 4 NA
CN06-037 46 NA NA Male 2006 A PW 2005 U23 9 FALSE 225 55 2006 2006-01-01 199 55 0 2.62446043165468 CN06-037 1 NA 46 46 NA 0 4 NA
CN06-037 45 NA 54 Male 2006 A PW 2005 U25 8 FALSE 245 55 2006 2006-01-01 198 54 0 2.62446043165468 CN06-037 1 NA 45 45 NA 0 4 NA
