repeats,individual,distance,year,RunAway
7,13,3.17058808184084,2016,1
8,13,1.93650209361796,2016,0
9,13,1.61195095239794,2017,1
10,13,5.08671743449315,2017,1
1,14,2.32149685458156,2013,1
2,14,1.14442834608196,2013,1
3,14,3.53325936275365,2014,0
4,14,3.3102302560609,2014,1
5,14,1.6461656642774,2015,1
6,14,1.05704358641805,2015,1
7,14,2.88369748284139,2016,1
8,14,4.13939629170942,2016,1
9,14,3.63612403518215,2017,0
10,14,2.50706257583802,2017,1
1,15,2.16581176841562,2013,0
2,15,3.27106675675055,2013,1
3,15,3.15735334721616,2014,0
4,15,3.62971174669273,2014,1
5,15,2.6042020497111,2015,1
6,15,3.8993540532031,2015,0
7,15,2.16918847266375,2016,0
8,15,2.66945529988004,2016,1
9,15,3.7408145237259,2017,1
10,15,3.98997160862711,2017,1
1,16,1.06149529854662,2013,1
2,16,3.10719040701615,2013,1
3,16,3.60877901173463,2014,0
4,16,1.54917568650937,2014,1
5,16,3.48062559987522,2015,1
6,16,2.1718257296032,2015,1
7,16,4.02025301216443,2016,1
8,16,3.53848203210264,2016,1
9,16,3.76905229499561,2017,0
10,16,3.12071932928703,2017,1
1,17,3.86364843415775,2013,0
2,17,4.38051452831454,2013,1
3,17,4.96624801545563,2014,1
4,17,2.97160494525093,2014,1
5,17,0.750948909667595,2015,1
6,17,3.03152600459399,2015,1
7,17,3.20556120844997,2016,1
8,17,2.8446546528556,2016,1
9,17,3.56828862077707,2017,1
10,17,4.01067796451427,2017,1
1,18,2.48201756983218,2013,1
2,18,2.70590467284389,2013,1
3,18,3.39784220880034,2014,1
4,18,2.44977625851086,2014,1
5,18,3.09126738348824,2015,0
6,18,1.0382924011147,2015,0
7,18,1.88010027860238,2016,1
8,18,1.67224452439587,2016,0
9,18,2.14637630327276,2017,0
10,18,2.30669547206933,2017,0
1,19,3.38230514254637,2013,1
2,19,3.98211300252264,2013,1
3,19,2.27261647091246,2014,1
4,19,2.003161017622,2014,1
5,19,1.95831114101049,2015,1
6,19,2.58541127363633,2015,1
7,19,2.76097093184744,2016,1
8,19,3.48361753383827,2016,1
9,19,2.67867515783161,2017,1
10,19,0.921510731139977,2017,1
1,20,2.90856572444986,2013,1
2,20,4.18718681065156,2013,1
3,20,4.19160126851033,2014,1
4,20,2.21103678188877,2014,0
5,20,1.45222345636243,2015,1
6,20,5.45806049186527,2015,0
7,20,2.83757805752058,2016,0
8,20,2.90254874989438,2016,1
9,20,3.42057418869815,2017,0
10,20,1.38596054338088,2017,1
1,21,2.27178088880871,2013,1
2,21,1.45955759470999,2013,0
3,21,2.3069053859894,2014,0
4,21,3.11884943300456,2014,1
5,21,1.63529054201309,2015,1
6,21,3.58998267936731,2015,0
7,21,3.28934402881734,2016,0
8,21,2.09578497437936,2016,1
9,21,3.22632494238106,2017,1
10,21,3.74808116249384,2017,1
1,22,4.06109525326174,2013,0
2,22,2.78715172135347,2013,1
3,22,2.90636320608895,2014,1
4,22,2.91328586501808,2014,1
5,22,4.44146175605504,2015,1
6,22,4.12507189227799,2015,1
7,22,3.83440156775704,2016,1
8,22,2.71265920015931,2016,1
9,22,3.37324143416641,2017,1
10,22,3.4032903312207,2017,1
1,23,1.95832670571068,2013,1
2,23,1.27169548467926,2013,1
3,23,3.64183002765162,2014,0
4,23,1.47068946881958,2014,1
5,23,3.00168368848421,2015,1
6,23,3.25024782134833,2015,1
7,23,3.56386739030588,2016,0
8,23,3.18942623751481,2016,1
9,23,2.26714619370287,2017,1
10,23,3.98636585989546,2017,1
1,24,4.73863376690625,2013,0
2,24,3.88117880892544,2013,1
3,24,1.05634909867602,2014,1
4,24,4.39957618540294,2014,0
5,24,2.94394405381373,2015,1
6,24,3.52491427931929,2015,1
7,24,3.62203323587106,2016,1
8,24,2.90331392679329,2016,1
9,24,2.92473680235127,2017,1
10,24,4.0191570693309,2017,1
1,25,3.71160192248624,2013,0
2,25,3.99026224604423,2013,1
3,25,5.38292669523033,2014,0
4,25,3.66441586369409,2014,1
5,25,3.20738115738531,2015,1
6,25,0.789366889424379,2015,1
7,25,5.69171400324612,2016,0
8,25,2.51732317820369,2016,1
9,25,5.37473471509539,2017,1
10,25,3.37464356800499,2017,1
1,26,4.53843019889679,2013,1
2,26,2.89028967882376,2013,1
3,26,3.51147075469813,2014,1
4,26,3.21395797964226,2014,0
5,26,2.8138793006265,2015,0
6,26,2.87960617537751,2015,1
7,26,4.01283433584425,2016,1
8,26,2.7985418530285,2016,0
9,26,0.9623175055592,2017,0
10,26,2.80411075117017,2017,1
1,27,3.53979060553627,2013,1
2,27,3.61645571635144,2013,1
3,27,3.61656781747743,2014,1
4,27,1.30789847913092,2014,1
5,27,3.36874205801119,2015,1
6,27,3.96785920994706,2015,1
7,27,4.27657868146766,2016,1
8,27,2.77503872895588,2016,1
9,27,2.6781074138172,2017,1
10,27,4.48783783187804,2017,1
1,28,1.33207195422068,2013,1
2,28,2.56317002308688,2013,1
3,28,3.45746207935745,2014,1
4,28,1.38222623461877,2014,0
5,28,3.27962786243176,2015,1
6,28,4.87786402105219,2015,1
7,28,2.99593934656366,2016,1
8,28,2.72154597503641,2016,1
9,28,3.47491171403405,2017,0
10,28,2.72092782921269,2017,0
1,29,3.81340037407906,2013,1
2,29,3.9044354644497,2013,0
3,29,3.00269166123012,2014,1
4,29,1.82330784225027,2014,1
5,29,1.68177927254091,2015,1
6,29,2.40700263434468,2015,0
7,29,3.79738050054984,2016,1
8,29,1.04179482534307,2016,0
9,29,1.11367484126745,2017,0
10,29,2.3462201752399,2017,1
1,30,3.39439484798058,2013,1
2,30,2.08643395183501,2013,1
3,30,3.88674903709606,2014,1
4,30,3.33336997015518,2014,1
5,30,2.82936038176139,2015,1
6,30,3.81882813653178,2015,0
7,30,3.38836516281937,2016,1
8,30,2.55406497278784,2016,1
9,30,3.23111493441816,2017,1
10,30,3.64751335797759,2017,1
1,31,3.35628334486205,2013,1
2,31,2.34198979205052,2013,1
3,31,3.85520220506419,2014,1
4,31,4.15293622555862,2014,0
5,31,3.27627455654334,2015,0
6,31,3.14410466246219,2015,1
7,31,2.92437491922016,2016,1
8,31,5.16141584630279,2016,1
9,31,3.27631553213579,2017,1
10,31,2.84170597130006,2017,1
1,32,0.492082197802746,2013,1
2,32,1.43471823496947,2013,0
3,32,2.92232679938944,2014,1
4,32,3.2062940448431,2014,1
5,32,3.27687245886161,2015,1
6,32,3.82150678044862,2015,1
7,32,2.80584759067954,2016,1
8,32,4.21458879448256,2016,0
9,32,2.07848395713042,2017,0
10,32,1.79155727955693,2017,1
1,33,1.77101382244619,2013,1
2,33,3.74229702418652,2013,1
3,33,2.91708005766077,2014,1
4,33,3.7898179218205,2014,1
5,33,2.73229357844292,2015,1
6,33,2.40810789778719,2015,0
7,33,2.63164742487349,2016,1
8,33,1.14738317575827,2016,1
9,33,1.83038473958589,2017,1
10,33,1.55796535364155,2017,1
1,34,4.05432227197535,2013,1
2,34,2.4026699086372,2013,1
3,34,3.78945985279018,2014,1
4,34,4.51649060169196,2014,1
5,34,2.80822519089006,2015,1
6,34,3.28387890635235,2015,1
7,34,1.24893248060392,2016,1
8,34,2.1813302224802,2016,1
9,34,3.05621484938284,2017,1
10,34,3.29908690333615,2017,1
1,35,2.24060188270112,2013,1
2,35,5.6848589992268,2013,1
3,35,2.54160986090761,2014,1
4,35,3.06424355663004,2014,1
5,35,3.64979186715352,2015,1
6,35,2.973981365226,2015,1
7,35,2.35643261297289,2016,1
8,35,4.0453056639633,2016,1
9,35,4.6155453232072,2017,0
10,35,2.97030602895016,2017,1
1,36,3.56226734540307,2013,1
2,36,2.90258750149737,2013,1
3,36,4.01645521770216,2014,1
4,36,1.84383260574015,2014,1
5,36,5.32086022399448,2015,1
6,36,2.39646875221166,2015,0
7,36,1.54115058556191,2016,1
8,36,2.64908217280693,2016,1
9,36,3.146708484145,2017,1
10,36,4.62362120768023,2017,0
1,37,3.91120967677132,2013,1
2,37,3.14245843204579,2013,1
3,37,1.61051647601184,2014,1
4,37,2.13396225532789,2014,1
5,37,2.83671506777071,2015,1
6,37,5.55302611346059,2015,0
7,37,1.13977242578159,2016,1
8,37,4.13105465184602,2016,1
9,37,2.47276574276608,2017,1
10,37,4.66599089998742,2017,1
1,38,1.8607993600266,2013,1
2,38,3.14362323466275,2013,1
3,38,1.90044905829725,2014,1
4,38,3.90351642636168,2014,0
5,38,4.48377948873809,2015,1
6,38,4.95072100640115,2015,1
7,38,3.79760065758952,2016,1
8,38,4.84326625457782,2016,0
9,38,4.24642390866165,2017,0
10,38,2.86812508817598,2017,1
1,39,3.4770372382847,2013,1
2,39,2.02800578852407,2013,1
3,39,2.81479783059901,2014,1
4,39,4.22096370834882,2014,1
5,39,3.54128414348235,2015,1
6,39,3.45735733162533,2015,1
7,39,1.96186896031279,2016,1
8,39,2.39548676966588,2016,1
9,39,2.23539398624643,2017,0
10,39,3.3952958700135,2017,1
1,40,2.00949236953344,2013,0
2,40,3.56204139009905,2013,1
3,40,1.88358358806646,2014,1
4,40,4.82853045813536,2014,0
5,40,3.4605913494781,2015,1
6,40,2.29899638774673,2015,1
7,40,3.24104593250122,2016,1
8,40,2.64754680077204,2016,0
9,40,3.37114795975966,2017,0
10,40,3.2435327187603,2017,1
1,41,1.98588582733853,2013,1
2,41,2.20868612118053,2013,1
3,41,3.29959368473956,2014,0
4,41,4.63905190875156,2014,1
5,41,4.08461700867092,2015,1
6,41,2.37543252638191,2015,1
7,41,3.82592290164749,2016,1
8,41,2.95143164724371,2016,1
9,41,3.3013136517184,2017,1
10,41,3.26036149073656,2017,1
1,42,5.57544976372339,2013,1
2,42,1.81471118941278,2013,0
3,42,3.10091985901286,2014,1
4,42,1.22002271203238,2014,1
5,42,3.58983592295876,2015,1
6,42,4.0966084717214,2015,1
7,42,4.44566224110115,2016,0
8,42,1.07485474816288,2016,0
9,42,3.41276949719403,2017,0
10,42,4.59336995138365,2017,1
1,43,2.5859841369577,2013,1
2,43,2.78784946791805,2013,0
3,43,2.96346277779526,2014,1
4,43,3.36501875143304,2014,1
5,43,3.66515987574597,2015,0
6,43,4.31782088371148,2015,1
7,43,2.90451240955501,2016,0
8,43,3.19627804547247,2016,1
9,43,5.48799787722146,2017,0
10,43,3.43109892811499,2017,1
1,44,3.18875310932983,2013,0
2,44,1.65775687471655,2013,1
3,44,3.00285604762223,2014,1
4,44,2.77867384683312,2014,1
5,44,2.98895417019063,2015,1
6,44,2.42458235872883,2015,0
7,44,2.3131843475573,2016,1
8,44,2.27922636817988,2016,1
9,44,2.78549548460023,2017,1
10,44,4.36813264802863,2017,1
1,45,4.04908662655933,2013,1
2,45,2.64002488205694,2013,1
3,45,1.31408354546126,2014,1
4,45,2.15541657146405,2014,1
5,45,2.54223946675949,2015,1
6,45,3.1036380042283,2015,1
7,45,2.33739272429919,2016,1
8,45,5.00668069083189,2016,1
9,45,2.72773246558165,2017,1
10,45,1.78605552976049,2017,1
1,46,2.85873824271749,2013,1
2,46,1.99462241840659,2013,0
3,46,3.15615570727533,2014,1
4,46,3.23363361408987,2014,1
5,46,3.35558761162838,2015,1
6,46,1.37814174087579,2015,0
7,46,3.22071129097065,2016,0
8,46,3.31045008054165,2016,1
9,46,1.57889155249551,2017,1
10,46,3.95536563973041,2017,0
1,47,3.78417087909434,2013,1
2,47,5.29961936115444,2013,1
3,47,3.15670298737573,2014,0
4,47,3.046733527518,2014,1
5,47,3.09658583408244,2015,1
6,47,3.0697662309003,2015,1
7,47,1.15152722466233,2016,1
8,47,1.32887294135776,2016,1
9,47,2.9224610332088,2017,0
10,47,2.4189326194335,2017,1
1,48,3.05473652505743,2013,1
2,48,0.888791626739469,2013,1
3,48,1.50130174547324,2014,0
4,48,1.89851656106126,2014,0
5,48,3.98605822106025,2015,1
6,48,1.90150999290988,2015,0
7,48,2.20048604642347,2016,1
8,48,3.07987381867405,2016,0
9,48,2.67725363817489,2017,1
10,48,3.14641717866796,2017,1
1,49,5.30506198204569,2013,0
2,49,1.87539632874176,2013,1
3,49,2.6945303600902,2014,0
4,49,2.48324055025627,2014,1
5,49,4.51239542683245,2015,1
6,49,2.23051507710972,2015,1
7,49,2.91791309622428,2016,1
8,49,3.78713361432271,2016,1
9,49,1.9414094640516,2017,0
10,49,4.65517581574201,2017,1
1,50,3.67576241547425,2013,1
2,50,1.92579339046965,2013,1
3,50,3.45457780905774,2014,1
4,50,2.78669285676693,2014,0
5,50,3.31322877199433,2015,1
6,50,2.91002480298434,2015,1
7,50,4.07051603677834,2016,1
8,50,1.64889961429667,2016,1
9,50,2.47738330280408,2017,1
10,50,2.7508093222446,2017,1
1,51,2.00420127514867,2013,0
2,51,1.96004495623381,2013,1
3,51,2.98201975942334,2014,1
4,51,2.86782486714327,2014,1
5,51,0.450657225249568,2015,1
6,51,4.04057345571938,2015,1
7,51,3.24972573598519,2016,1
8,51,5.41620737314833,2016,1
9,51,3.6851982380511,2017,1
10,51,2.55304069103801,2017,1
1,52,5.7973911469581,2013,1
2,52,5.83222602391551,2013,1
3,52,1.78128818370982,2014,1
4,52,3.46903195595542,2014,1
5,52,2.78875308136785,2015,1
6,52,3.18705114655401,2015,0
7,52,3.22754272856881,2016,0
8,52,1.73809953713095,2016,0
9,52,3.28558958024256,2017,0
10,52,4.7492473631418,2017,1
1,53,2.8359099958652,2013,1
2,53,2.83707328930155,2013,1
3,53,4.39857200633747,2014,1
4,53,3.89839624068295,2014,1
5,53,1.35150518161871,2015,0
6,53,3.22855697326219,2015,1
7,53,4.65354723467773,2016,1
8,53,4.41527634991914,2016,1
9,53,3.41995160381423,2017,1
10,53,3.72122080711289,2017,1
1,54,1.80306478781132,2013,1
2,54,3.30013156688137,2013,1
3,54,2.04555106481218,2014,1
4,54,2.54198193190306,2014,1
5,54,3.9356036837796,2015,1
6,54,1.86310688830886,2015,1
7,54,3.26691825087306,2016,1
8,54,3.42833203947154,2016,1
9,54,3.05491196983963,2017,0
10,54,4.82218882183542,2017,0
1,55,1.97765267142475,2013,1
2,55,3.6061302614356,2013,1
3,55,2.91106943254933,2014,1
4,55,2.73916775616608,2014,1
5,55,3.46409123385238,2015,1
6,55,1.97959940931607,2015,1
7,55,1.68654908348159,2016,0
8,55,2.50551912451658,2016,1
9,55,4.75175714975545,2017,1
10,55,3.05576477461252,2017,1
1,56,3.33143439822789,2013,1
2,56,2.81015336232246,2013,1
3,56,3.47049273195383,2014,1
4,56,2.04832045698285,2014,1
5,56,4.15791046656864,2015,1
6,56,3.58470526024135,2015,1
7,56,2.1935471773083,2016,1
8,56,3.05455324581199,2016,1
9,56,3.71633161949912,2017,1
10,56,3.5577309820546,2017,1
1,57,4.48193401587688,2013,1
2,57,2.38701224510515,2013,1
3,57,4.11613661549039,2014,1
4,57,4.03654800994122,2014,1
5,57,2.83751686809715,2015,1
6,57,2.02407330717811,2015,1
7,57,1.91085480911548,2016,0
8,57,3.45778695794497,2016,0
9,57,2.92887326627911,2017,1
10,57,4.77910266685145,2017,1
1,58,3.5351379604962,2013,1
2,58,2.6280551248365,2013,0
3,58,1.97445775150289,2014,1
4,58,2.41759832539475,2014,1
5,58,3.34288839289733,2015,1
6,58,2.54906535294335,2015,1
7,58,3.51423012023069,2016,0
8,58,2.66566194783022,2016,1
9,58,2.89444009120552,2017,1
10,58,2.26949032719217,2017,1
1,59,4.9050435849087,2013,1
2,59,3.33262173147039,2013,1
3,59,3.23063364049945,2014,1
4,59,1.30813758511593,2014,1
5,59,3.65979189954933,2015,1
6,59,1.97637641112029,2015,1
7,59,2.1084784256457,2016,1
8,59,3.91834117102165,2016,0
9,59,2.54729935349177,2017,1
10,59,1.25162771999682,2017,0
1,60,4.76990410988935,2013,1
2,60,0.622593074607479,2013,1
3,60,3.57281152985958,2014,1
4,60,4.01724924908461,2014,1
5,60,2.36903213333947,2015,1
6,60,3.44428705141155,2015,1
7,60,3.43913038838856,2016,0
8,60,4.04062315291451,2016,1
9,60,3.48409938795252,2017,0
10,60,2.75511622090748,2017,1
1,61,3.91599205794021,2013,0
2,61,3.80062235650977,2013,1
3,61,2.06343096586421,2014,0
4,61,1.59921256600427,2014,1
5,61,3.16027753999318,2015,0
6,61,2.72603762522482,2015,1
7,61,2.0144608874377,2016,1
8,61,3.08393067951503,2016,1
9,61,1.68000347351309,2017,1
10,61,3.1612263513262,2017,1
1,62,2.37507161245808,2013,1
2,62,3.95716427419248,2013,1
3,62,5.42448914116153,2014,1
4,62,2.08402075631321,2014,0
5,62,4.05766417094298,2015,1
6,62,3.82514972776828,2015,1
7,62,2.92980577569464,2016,1
8,62,2.54635362594299,2016,1
9,62,4.57530770683749,2017,0
10,62,0.994542181763753,2017,1
1,63,2.35680520840634,2013,1
2,63,1.56315655634222,2013,0
3,63,4.39531343894608,2014,0
4,63,2.80929656735514,2014,0
5,63,2.47532880053033,2015,1
6,63,6.18404447406633,2015,1
7,63,2.94996273211237,2016,0
8,63,2.55625068813348,2016,1
9,63,3.29986525013614,2017,1
10,63,1.43157537924503,2017,1
1,64,3.49030264267207,2013,1
2,64,2.90383679892003,2013,1
3,64,3.46852512253015,2014,1
4,64,2.01762936406215,2014,1
5,64,1.97701615785206,2015,0
6,64,2.30658533672382,2015,1
7,64,2.23201042690722,2016,0
8,64,4.29904996668359,2016,1
9,64,4.57914556180809,2017,0
10,64,2.84310804696093,2017,1
1,65,2.64106343941532,2013,1
2,65,2.67096116957833,2013,0
3,65,3.06923647785302,2014,1
4,65,3.09690423370105,2014,0
5,65,3.29003438776557,2015,1
6,65,2.25332105895374,2015,1
7,65,2.15310361117968,2016,0
8,65,4.19707766374608,2016,1
9,65,2.45137263889668,2017,1
10,65,3.30304569522545,2017,0
1,66,2.94302946619667,2013,1
2,66,2.04215060784933,2013,1
3,66,3.59106190941151,2014,1
4,66,3.17310487349295,2014,1
5,66,4.39978335621251,2015,1
6,66,3.11745958462699,2015,1
7,66,2.66845424179915,2016,1
8,66,3.27829491330536,2016,0
9,66,1.81440835096466,2017,1
10,66,2.1641059466064,2017,1
1,67,3.51027325113943,2013,1
2,67,2.66687909877605,2013,1
3,67,2.93403905364754,2014,1
4,67,2.88477829057805,2014,1
5,67,2.34948738122547,2015,1
6,67,0.981311340917583,2015,1
7,67,3.34883497017659,2016,1
8,67,3.76163950764686,2016,1
9,67,1.71128376464987,2017,1
10,67,4.48240271845861,2017,1
1,68,3.38515482368723,2013,1
2,68,4.34164029499387,2013,1
3,68,2.04282952875771,2014,0
4,68,3.16678128835425,2014,0
5,68,2.89998604106119,2015,1
6,68,3.76850743188178,2015,1
7,68,2.42414043208731,2016,1
8,68,2.98990232804754,2016,1
9,68,1.22134085125606,2017,1
10,68,2.2223785571295,2017,0
1,69,3.12503388366511,2013,0
2,69,2.29367850761178,2013,1
3,69,2.95643051418852,2014,1
4,69,2.53207402607478,2014,1
5,69,3.60693013616149,2015,1
6,69,4.16848830874956,2015,1
7,69,2.17749858719248,2016,1
8,69,2.69296344140527,2016,1
9,69,4.43976125836974,2017,1
10,69,0.801076745816293,2017,1
1,70,2.68016220825927,2013,1
2,70,5.06470428414334,2013,0
3,70,5.19359006906426,2014,0
4,70,3.15659532335015,2014,1
5,70,2.13639104938636,2015,1
6,70,3.16545741949044,2015,1
7,70,2.34722560405298,2016,1
8,70,4.45281728229148,2016,1
9,70,2.19351734429695,2017,1
10,70,3.37291159520875,2017,1
1,71,3.61985007456869,2013,1
2,71,2.24248983930415,2013,1
3,71,3.85152468150618,2014,1
4,71,2.25207002908369,2014,1
5,71,3.63023982965398,2015,1
6,71,4.09666163310355,2015,1
7,71,2.01155707761679,2016,0
8,71,4.1079950409796,2016,1
9,71,2.51046712878759,2017,1
10,71,3.29435338843697,2017,0
1,72,3.20183747228877,2013,1
2,72,2.5728036136618,2013,1
3,72,3.26810286999778,2014,0
4,72,1.76956907457616,2014,0
5,72,2.86386312781504,2015,1
6,72,3.82579083166517,2015,0
7,72,0.825875350770686,2016,0
8,72,1.51207381264175,2016,0
9,72,1.83806244240303,2017,1
10,72,1.41091030585457,2017,1
1,73,3.41958303929636,2013,1
2,73,2.00707165024399,2013,1
3,73,0.835452914671027,2014,1
4,73,2.36243123491955,2014,1
5,73,2.60936474852519,2015,1
6,73,3.85678547377811,2015,1
7,73,1.89624786400117,2016,1
8,73,4.1612892557387,2016,1
9,73,3.3983627156286,2017,1
10,73,3.36235215763554,2017,1
1,74,2.1474743296855,2013,1
2,74,4.95366787989804,2013,0
3,74,2.83572916790284,2014,1
4,74,1.17510241582167,2014,0
5,74,2.7961435286075,2015,1
6,74,1.06555592926795,2015,1
7,74,2.68948988421333,2016,1
8,74,2.57777299681038,2016,1
9,74,3.68182969040341,2017,1
10,74,4.00949618573749,2017,1
1,75,2.27389503509885,2013,1
2,75,3.80610886837503,2013,1
3,75,4.42432310966876,2014,1
4,75,2.21585599515735,2014,1
5,75,2.34759563350067,2015,1
6,75,3.65077836315368,2015,0
7,75,3.18304796994394,2016,1
8,75,3.54877496044428,2016,1
9,75,4.40468429454756,2017,1
10,75,3.3870831195764,2017,0
1,76,4.05170127017537,2013,1
2,76,3.62290546233719,2013,0
3,76,3.43362038980885,2014,1
4,76,3.38608443818441,2014,1
5,76,4.29132330445808,2015,1
6,76,1.99774012628935,2015,0
7,76,1.89481727084251,2016,0
8,76,3.59194600339721,2016,1
9,76,2.88031033586689,2017,1
10,76,3.07400521168496,2017,0
1,77,3.7412773771714,2013,1
2,77,3.75329504784908,2013,1
3,77,2.73732949663822,2014,0
4,77,2.6874561310029,2014,1
5,77,3.07359860900787,2015,1
6,77,4.06301778929474,2015,0
7,77,3.426020486679,2016,1
8,77,4.43300751082319,2016,1
9,77,2.99236312958003,2017,1
10,77,4.12566760522075,2017,0
1,78,3.88300231101725,2013,0
2,78,3.61208346090007,2013,1
3,78,3.41470070677846,2014,0
4,78,2.72011760285748,2014,0
5,78,2.89096249083077,2015,1
6,78,3.22939549570847,2015,1
7,78,3.04888889067929,2016,1
8,78,3.94322446838622,2016,1
9,78,2.89068287681357,2017,1
10,78,2.92962307841217,2017,1
1,79,2.51568091243434,2013,0
2,79,2.86166367145667,2013,1
3,79,2.93123435769616,2014,1
4,79,0.686264226100585,2014,1
5,79,1.63516830278568,2015,1
6,79,2.92751309004804,2015,0
7,79,2.7347162251355,2016,0
8,79,1.79913067179256,2016,1
9,79,1.00846182395698,2017,1
10,79,2.64563078008657,2017,1
1,80,3.65349576569428,2013,1
2,80,4.77323863192756,2013,1
3,80,2.96154320629066,2014,1
4,80,4.49318484062772,2014,1
5,80,3.08302215763597,2015,1
6,80,3.11553210425956,2015,1
7,80,3.32482531334875,2016,0
8,80,2.12942275473908,2016,1
9,80,2.94828178710512,2017,1
10,80,3.90844769879225,2017,1
1,81,2.25027421314781,2013,1
2,81,2.67839393011204,2013,1
3,81,1.85222924954075,2014,0
4,81,3.35435219644935,2014,0
5,81,3.42479978238902,2015,1
6,81,3.64834735122408,2015,0
7,81,1.7801899684831,2016,1
8,81,3.10723503475476,2016,1
9,81,2.05594230835015,2017,1
10,81,2.99961535128398,2017,1
1,82,4.34262392000608,2013,1
2,82,2.49647471306572,2013,0
3,82,3.71668332093883,2014,1
4,82,2.25033141591631,2014,1
5,82,2.52147178954969,2015,1
6,82,3.43872175058662,2015,1
7,82,2.32088772954213,2016,1
8,82,1.29703516485456,2016,0
9,82,4.26516843521333,2017,1
10,82,3.36035723787985,2017,1
1,83,2.41636055943991,2013,1
2,83,1.0059212126694,2013,1
