id,Weight,Body_Length,Tail_Length,Sex,Year,Age,Xpos,Ypos,Mother,inbreeding,temperature,humidity,Birds_seen
CN06-011,31,109,52,Female,2006,A,35,135,CN06-013,0,22.3,42.3960104907173,4
CN06-011,35,109,53,Female,2006,A,45,105,CN06-013,0,17.1,38.0610243010076,2
CN06-011,40,109,53,Female,2006,A,45,105,CN06-013,0,21,84.1932158459387,2
CN06-012,41,109,53,Female,2006,A,55,115,0,0,15.6,51.7417851013588,1
CN06-012,41,109,53,Female,2006,A,65,115,0,0,8.4,41.831892876716,1
CN06-013,39,109,58,Female,2006,A,35,95,0,0,15,18.9674496322416,4
CN06-014,40,109,51,Female,2006,A,25,85,0,0,13.2,42.572945919678,6
CN06-014,39,109,53,Female,2006,A,45,65,0,0,9.4,30.5401993087968,2
CN06-015,47,109,57,Male,2006,A,45,85,0,0,5.7,78.7689952784897,4
CN06-015,49,109,58,Male,2006,A,55,75,0,0,6.5,94.8518943373411,3
CN06-015,41,109,56,Male,2006,A,45,125,0,0,12,35.4394166529087,3
CN06-017,42,109,52,Male,2006,A,65,105,0,0,16.6,93.5923641521086,1
CN06-017,35,109,52.5,Male,2006,A,115,65,0,0,4.2,11.867966551839,0
CN06-017,42,109,53,Male,2006,A,115,55,0,0,17.7,55.1860888237654,6
CN06-017,43,109,53,Male,2006,A,65,95,0,0,5.7,83.8656407762171,2
CN06-017,47,109,56,Male,2006,A,95,55,0,0,11.7,48.3014704165933,0
CN06-018,41,109,53,Male,2006,A,35,85,0,0,17.6,63.4600374083723,3
CN06-018,35,109,53,Male,2006,A,35,95,0,0,16,51.0946556362243,3
CN06-018,38,109,53,Male,2006,A,35,95,0,0,14,36.6255522217925,5
CN06-018,42,109,53,Male,2006,A,45,95,0,0,12.9,51.3188501173094,1
CN06-018,37,109,53,Male,2006,A,45,75,0,0,11.4,62.6674955334799,1
CN06-018,42,109,53,Male,2006,A,35,85,0,0,12.8,16.7369135249215,2
CN06-021,42,109,53,Female,2006,A,105,95,0,0,19.3,79.8373668334383,3
CN06-021,40,109,30,Female,2006,A,95,95,0,0,17.8,48.2553525701801,4
CN06-021,44,109,30,Female,2006,A,95,65,0,0,14.8,59.0727026789801,5
CN06-021,40,109,30,Female,2006,A,95,65,0,0,15.1,67.6085106089573,4
CN06-021,44,109,53,Female,2006,A,125,85,0,0,16.5,74.0071719947361,6
CN06-023,40,109,53,Female,2006,A,55,115,CN06-013,0,14.9,11.9208594521049,3
CN06-023,37,109,53,Female,2006,A,45,115,CN06-013,0,11.4,65.6777436609596,2
CN06-023,38,109,53,Female,2006,A,55,125,CN06-013,0,16.9,49.3210593560968,0
CN06-023,36,109,52,Female,2006,A,55,135,CN06-013,0,15.2,51.8600951526301,1
CN06-024,38,109,56,Female,2006,A,35,135,0,0,11.1,59.7843471470031,3
CN06-024,39,109,53,Female,2006,A,45,145,0,0,11.5,27.9849431074411,0
CN06-025,40,121,59,Female,2007,A,205,115,0,0,9.3,30.9644897913627,3
CN06-025,33,124,71,Female,2007,A,195,115,0,0,6.9,36.6161331888072,2
CN06-025,41,125,63,Female,2007,A,195,105,0,0,11.7,62.1573190372657,5
CN06-025,40,109,53,Female,2006,A,195,115,0,0,16.5,94.151622817786,1
CN06-025,40,109,53,Female,2006,A,205,125,0,0,19,47.2213265649841,2
CN06-025,40,109,53,Female,2006,A,195,75,0,0,15.4,35.2815652220414,6
CN06-025,42,109,53,Female,2006,A,195,85,0,0,16.5,15.679413391224,3
CN06-025,47,109,64,Female,2006,A,205,75,0,0,10,69.832786901454,5
CN06-025,49,109,64,Female,2006,A,195,105,0,0,7,51.1056378528433,0
CN06-025,41,109,53,Female,2006,A,195,75,0,0,11.2,46.4929965588261,6
CN06-025,39,126,64,Female,2007,A,195,115,0,0,13.6,21.057353926001,5
CN06-027,49,119,64,Male,2007,A,155,65,0,0,11.4,76.442337705416,2
CN06-027,45,118,60,Male,2007,A,145,55,0,0,17.1,61.1088371387262,4
CN06-027,46,121,58,Male,2007,A,165,85,0,0,14.6,83.3604337708009,6
CN06-027,46,119,56,Male,2007,A,155,55,0,0,10.5,87.0470629383808,2
CN06-027,47,122,61,Male,2007,A,145,85,0,0,18.8,77.9385697136474,4
CN06-027,46,118,68,Male,2007,A,115,55,0,0,10.3,79.0061216610115,4
CN06-027,47,116,63,Male,2007,A,145,95,0,0,8.1,51.066679731488,2
CN06-027,48,116,60,Male,2007,A,155,85,0,0,13.9,75.1896226248797,3
CN06-027,46,109,53,Male,2006,A,215,35,0,0,14.8,56.3068930693156,1
CN06-027,44,109,53,Male,2006,A,205,85,0,0,12.7,67.0098922781443,7
CN06-027,40,109,53,Male,2006,A,205,75,0,0,5.9,52.5496513796622,3
CN06-027,43,109,53,Male,2006,A,195,65,0,0,12.2,86.6124175982343,3
CN06-027,43,109,53,Male,2006,A,205,85,0,0,10.8,56.3177286400774,1
CN06-027,41,109,53,Male,2006,A,165,65,0,0,8.7,87.3083459965233,1
CN06-027,40,109,53,Male,2006,A,205,75,0,0,12.4,68.1930479489719,1
CN06-027,46,109,60,Male,2006,A,205,115,0,0,8.8,82.5860117360451,2
CN06-027,45,109,53,Male,2006,A,205,115,0,0,19.1,65.3052762364054,3
CN06-028,19,109,46,Female,2006,J,215,105,CN06-025,0,15.8,6.11804207125825,3
CN06-033,41,109,55,Female,2006,A,255,135,0,0,20.1,36.4161870991637,1
CN06-033,37,109,53,Female,2006,A,275,95,0,0,16.2,46.149662182062,2
CN06-033,36,109,53,Female,2006,A,285,65,0,0,23.8,55.1134241106222,6
CN06-033,37,109,53,Female,2006,A,275,75,0,0,6.2,75.9184185590553,6
CN06-033,35,109,53,Female,2006,A,265,115,0,0,4.6,80.124350557663,3
CN06-033,38,109,53,Female,2006,A,255,135,0,0,8.8,60.6314270210851,2
CN06-033,42,109,53,Female,2006,A,255,145,0,0,7.4,65.4766226741297,4
CN06-033,41,109,53,Female,2006,A,285,75,0,0,19.7,62.2588669085156,6
CN06-034,34,109,53,Female,2006,A,285,115,0,0,18.3,85.9207001101921,5
CN06-034,36,109,54,Female,2006,A,265,125,0,0,22.4,47.9196122485809,3
CN06-034,38,109,53,Female,2006,A,315,125,0,0,4.8,16.7819622736284,2
CN06-034,34,109,53,Female,2006,A,315,95,0,0,9.4,67.1298418898106,4
CN06-035,49,109,54,Female,2006,A,275,95,0,0,16.3,70.7934597179485,1
CN06-035,45,109,53,Female,2006,A,275,85,0,0,12.6,63.671328021754,5
CN06-035,46,109,53,Female,2006,A,285,85,0,0,16.6,57.22599455885,4
CN06-035,47,109,53,Female,2006,A,295,65,0,0,8.6,81.0982231084127,7
CN06-036,38,109,53,Female,2006,A,215,25,0,0,14.9,58.1672178660268,2
CN06-036,42,117,64,Female,2008,A,235,25,0,0,13.5,45.8940960204314,2
CN06-036,40,117,56,Female,2008,A,225,15,0,0,13.5,50.968588624879,4
CN06-036,44,113,59,Female,2007,A,235,15,0,0,18.1,80.8360104684429,3
CN06-036,38,118,62,Female,2007,A,235,25,0,0,10.9,71.80955368315,5
CN06-036,42,117,60,Female,2007,A,225,15,0,0,14.4,76.5372165161072,5
CN06-036,37,109,53,Female,2006,A,225,15,0,0,7.9,45.210625861386,3
CN06-036,34,109,58,Female,2006,A,235,25,0,0,12.4,33.4742737425003,4
CN06-036,37,109,62,Female,2006,A,235,25,0,0,6.3,89.6229250678406,5
CN06-036,51,112,64,Female,2007,A,225,15,0,0,10.4,95.7446285334094,1
CN06-037,49,109,53,Male,2006,A,385,145,0,0,13.3,76.7590036065779,5
CN06-037,45,109,53,Male,2006,A,385,145,0,0,16.7,52.8037530632235,1
CN06-037,44,109,53,Male,2006,A,385,195,0,0,11.8,75.5094476352879,2
CN06-037,46,109,53,Male,2006,A,205,85,0,0,13.2,71.7725053424185,1
CN06-037,50,109,53,Male,2006,A,285,125,0,0,17.3,72.7584421361426,5
CN06-037,46,109,53,Male,2006,A,225,55,0,0,12.9,86.5452858954184,4
CN06-037,45,109,54,Male,2006,A,245,55,0,0,12.9,77.8006621495716,2
CN06-037,42,109,53,Male,2006,A,425,185,0,0,17.5,36.4783287946578,0
CN06-037,49,109,53,Male,2006,A,385,165,0,0,12.8,62.5049505989286,4
CN06-038,51,109,61,Female,2006,A,225,55,0,0,9.5,82.2821473930657,2
CN06-038,50,109,53,Female,2006,A,225,75,0,0,5.4,88.2470573403344,1
CN06-039,37,109,53,Female,2006,A,225,35,0,0,10.4,64.8282298536496,4
CN06-039,43,123,64,Female,2007,A,225,55,0,0,17.7,67.7345074134287,2
CN06-039,43,124,64,Female,2007,A,225,65,0,0,20.8,89.5646905575548,4
CN06-039,39,109,53,Female,2006,A,225,35,0,0,18.7,30.8712877471854,1
CN06-039,43,109,53,Female,2006,A,225,35,0,0,9.7,70.5826540100885,1
CN06-039,34,109,53,Female,2006,A,225,35,0,0,13.1,28.117357971872,5
CN06-039,40,109,53,Female,2006,A,215,85,0,0,17,57.6110758266692,5
CN06-039,38,109,53,Female,2006,A,235,65,0,0,11.3,57.8631123978687,2
CN06-039,52,109,64,Female,2006,A,235,65,0,0,9.3,84.9321609462998,2
CN06-039,39,109,53,Female,2006,A,215,55,0,0,12.8,56.7747767769601,3
CN06-040,36,109,53,Female,2006,A,165,35,0,0,9.2,54.6515347526341,5
CN06-040,36,109,52,Female,2006,A,165,65,0,0,6.4,58.4322022938145,2
CN06-040,38,109,60,Female,2006,A,175,65,0,0,9.5,74.9682012772736,2
CN06-040,37,109,53,Female,2006,A,155,25,0,0,18.9,33.4833890958221,7
CN06-040,36,109,53,Female,2006,A,155,45,0,0,16.2,77.989663425452,1
CN06-040,37,109,53,Female,2006,A,175,65,0,0,14.2,59.9546800451011,1
CN06-041,20,109,53,Female,2006,J,285,45,CN06-062,0,12.3,34.7126631180495,1
CN06-041,20,109,36,Female,2006,J,275,45,CN06-062,0,11.1,4.91413979260619,4
CN06-042,36,109,53,Male,2006,A,315,145,0,0,14,94.3150417946719,5
CN06-042,35,109,53,Male,2006,A,295,75,0,0,20.3,37.3232897849918,8
CN06-042,37,109,53,Male,2006,A,285,115,0,0,13.5,85.1526144643429,4
CN06-042,40,109,53,Male,2006,A,325,115,0,0,12.6,68.3875460466526,6
CN06-042,37,109,53,Male,2006,A,275,95,0,0,14.7,42.5618585583297,5
CN06-042,39,109,53,Male,2006,A,285,85,0,0,19.5,82.1088885363688,1
CN06-042,37,109,53,Male,2006,A,345,115,0,0,14.9,39.3701847123338,3
CN06-042,38,109,53,Male,2006,A,255,135,0,0,10,79.3964857717185,5
CN06-042,38,109,54,Male,2006,A,275,95,0,0,14.8,57.4993317590626,2
CN06-042,35,109,53,Male,2006,A,275,75,0,0,12.8,25.1299292364949,1
CN06-042,38,109,53,Male,2006,A,325,175,0,0,10.3,70.1049025968211,3
CN06-043,16,109,39,Male,2006,J,265,125,CN06-F12,0,7.5,12.674161055351,2
CN06-044,40,109,57,Female,2006,A,215,35,0,0,16.4,57.6975348169376,2
CN06-048,28,109,53,Male,2006,J,155,55,CN06-040,0,13,25.1939514364237,4
CN06-048,15,109,34,Male,2006,J,165,75,CN06-040,0,10.1,13.3379554178257,2
CN06-048,26,109,53,Male,2006,J,175,85,CN06-040,0,11.9,12.3670967089381,2
CN06-048,27,109,53,Male,2006,J,165,75,CN06-040,0,9.1,61.6932454391754,2
CN06-048,25,109,53,Male,2006,J,165,75,CN06-040,0,10.7,22.2980366513025,3
CN06-048,28,109,53,Male,2006,J,165,55,CN06-040,0,12.6,47.9660932522436,2
CN06-049,22,109,43,Female,2006,J,425,125,CN06-081,0,13.3,7.1486868218474,3
CN06-049,23,109,42,Female,2006,J,425,125,CN06-081,0,12.7,31.8589092169873,2
CN06-050,45,109,53,Female,2006,A,385,155,CN05-F2,0,15.3,83.4925397703572,2
CN06-050,48,118,62,Female,2007,A,405,125,CN05-F2,0,3.7,73.0066933656542,2
CN06-050,40,116,64,Female,2007,A,385,195,CN05-F2,0,21.5,62.9260801544026,4
CN06-050,40,123,65,Female,2007,A,395,135,CN05-F2,0,20.3,21.0746496403669,6
CN06-050,43,121,64,Female,2007,A,375,175,CN05-F2,0,14.8,30.4320340228982,2
CN06-050,45,121,66,Female,2007,A,405,125,CN05-F2,0,7.4,57.5941299596562,2
CN06-050,43,119,67,Female,2007,A,405,135,CN05-F2,0,16.1,73.2493409196131,6
CN06-050,44,112,63,Female,2007,A,405,135,CN05-F2,0,3.5,62.4453744801164,5
CN06-050,45,109,53,Female,2006,A,395,155,CN05-F2,0,16.8,81.1831465285899,2
CN06-050,41,109,53,Female,2006,A,395,135,CN05-F2,0,15.9,38.5215930874079,2
CN06-050,44,109,53,Female,2006,A,395,155,CN05-F2,0,12.6,38.22072648669,3
CN06-050,46,109,53,Female,2006,A,385,175,CN05-F2,0,13.7,30.6033551618746,1
CN06-050,44,109,60,Female,2006,A,395,145,CN05-F2,0,12.1,80.0093768319344,1
CN06-050,40,109,55,Female,2006,A,395,135,CN05-F2,0,14.1,78.0350338138758,7
CN06-050,49,120,61,Female,2007,A,375,165,CN05-F2,0,17.2,77.1498675103987,2
CN06-051,46,109,53,Female,2006,A,365,145,0,0,9.9,84.2103647123508,7
CN06-051,42,109,53,Female,2006,A,365,145,0,0,0.8,71.2211544959392,4
CN06-051,46,109,61,Female,2006,A,385,125,0,0,19.6,80.1474246348012,2
CN06-051,44,109,53,Female,2006,A,385,135,0,0,4.9,48.1444098708567,2
CN06-051,46,109,53,Female,2006,A,405,105,0,0,14.8,63.7374474719401,2
CN06-051,48,109,53,Female,2006,A,355,115,0,0,13.2,80.6746382643707,3
CN06-052,47,109,54,Female,2006,A,375,125,0,0,14.4,59.6900717699722,2
CN06-052,46,109,53,Female,2006,A,375,95,0,0,17.7,51.139151653896,5
CN06-052,42,109,53,Female,2006,A,335,95,0,0,13,90.5732223021292,4
CN06-052,40,109,53,Female,2006,A,335,85,0,0,14.8,56.1063417929094,2
CN06-052,43,109,53,Female,2006,A,385,105,0,0,9.2,87.8596192594719,2
CN06-052,45,109,53,Female,2006,A,345,85,0,0,13.9,22.0772190174417,3
CN06-053,39,109,53,Female,2006,A,335,155,0,0,15.7,84.5783228838554,1
CN06-053,40,109,53,Female,2006,A,425,145,0,0,16.1,64.9712438695031,4
CN06-053,36,109,53,Female,2006,A,325,75,0,0,11.6,46.6168060787074,2
CN06-053,36,109,53,Female,2006,A,285,135,0,0,7.9,37.9408957999219,2
CN06-053,37,109,59,Female,2006,A,295,165,0,0,8.3,79.5707246108175,2
CN06-053,42,109,53,Female,2006,A,305,125,0,0,9.7,62.91280041835,4
CN06-053,43,109,57.5,Female,2006,A,335,135,0,0,13.9,67.1950172391423,1
CN06-053,35,109,53,Female,2006,A,305,155,0,0,10,39.9478314311822,2
CN06-054,22,109,46,Male,2006,J,325,125,CN06-104,0,13.4,11.2028681390413,3
CN06-054,25,109,53,Male,2006,J,325,125,CN06-104,0,17.7,9.90760402979936,4
CN06-055,44,109,53,Male,2006,A,385,195,0,0,11.1,87.1178037952554,4
CN06-055,40,109,53,Male,2006,A,395,185,0,0,15.7,60.5251212754132,0
CN06-055,49,123,58,Male,2007,A,425,185,0,0,12.2,94.4985798924846,3
CN06-055,49,124,58,Male,2007,A,335,135,0,0,11.5,77.2683225270006,3
CN06-055,48,116,58,Male,2007,A,425,175,0,0,11.1,68.7615890518449,2
CN06-055,47,109,60,Male,2006,A,305,85,0,0,13.2,80.480940650637,1
CN06-055,41,109,53,Male,2006,A,395,175,0,0,11.1,81.6297886425539,2
CN06-055,45,109,53,Male,2006,A,385,185,0,0,17.2,83.7186289925234,2
CN06-055,49,109,53,Male,2006,A,345,105,0,0,12.9,25.4048096896385,5
CN06-055,44,109,53,Male,2006,A,385,195,0,0,15.6,80.3640017590274,8
CN06-056,36,118,58,Female,2007,A,325,75,0,0,19.4,19.7882973217199,4
CN06-056,37,117,61,Female,2007,A,365,85,0,0,15,57.7684849125721,3
CN06-056,35,109,53,Female,2006,A,365,85,0,0,6.8,16.9588384158462,4
CN06-056,36,109,53,Female,2006,A,375,105,0,0,7.9,84.2607926507398,3
CN06-056,35,109,53,Female,2006,A,375,105,0,0,11.5,54.7762299054779,2
CN06-056,36,109,52,Female,2006,A,375,105,0,0,16.5,53.2768488133948,4
CN06-058,42,109,53,Male,2006,A,425,185,0,0,11.7,57.1484901245646,6
CN06-058,41,109,53,Male,2006,A,425,175,0,0,11.8,48.8203231928948,4
CN06-058,45,109,57,Male,2006,A,415,115,0,0,14.8,73.8386382530251,4
CN06-059,42,112,56,Female,2007,A,355,155,CN06-051,0,13.2,84.765348756539,2
CN06-059,38,117,54,Female,2007,A,385,125,CN06-051,0,13.1,80.4815024808472,2
CN06-059,35,112,56,Female,2007,A,385,125,CN06-051,0,12.1,58.4751140927388,4
CN06-059,38,114,57,Female,2007,A,345,155,CN06-051,0,17.4,61.8164054193004,2
CN06-059,34,116,58,Female,2007,A,355,135,CN06-051,0,12.7,38.5484588754518,3
CN06-059,40,110,54,Female,2007,A,355,135,CN06-051,0,14.3,91.3220914326992,6
CN06-059,36,114,52,Female,2007,A,365,165,CN06-051,0,15,65.0119206037788,5
CN06-059,45,112,56,Female,2007,A,375,145,CN06-051,0,14.3,73.6483305206607,3
CN06-059,29,109,53,Female,2006,J,365,135,CN06-051,0,14.2,28.9818299998731,1
CN06-059,29,109,53,Female,2006,J,365,145,CN06-051,0,8.8,65.9676073323324,3
CN06-059,27,109,53,Female,2006,J,385,125,CN06-051,0,22.1,31.5537568998477,0
CN06-059,29,109,53,Female,2006,J,365,135,CN06-051,0,15.1,52.7102717004427,3
CN06-059,19,109,39,Female,2006,J,385,115,CN06-051,0,8.1,18.9318892605028,3
CN06-059,38,113,57,Female,2007,A,375,135,CN06-051,0,19.5,69.7288216388557,3
CN06-060,17,109,40,Male,2006,J,375,85,CN06-052,0,12.1,2.62678470679508,3
CN06-060,34,109,53,Male,2006,J,375,95,CN06-052,0,18.9,69.2118081065482,2
CN06-060,29,109,53,Male,2006,J,355,85,CN06-052,0,16.8,38.297475956156,5
CN06-061,40,109,59,Male,2006,A,365,95,0,0,11.9,78.851020177318,1
CN06-062,51,109,58,Female,2006,A,285,45,0,0,13.2,82.6988380767783,5
CN06-063,50,109,66,Male,2006,A,305,65,0,0,9.8,89.2987964942771,2
CN06-064,43,109,53,Male,2006,A,305,145,0,0,9.5,65.6008383457223,1
CN06-064,47,109,53,Male,2006,A,315,175,0,0,13.2,50.4219042272667,4
CN06-064,48,109,55,Male,2006,A,305,85,0,0,11.6,78.9605692820461,3
CN06-065,47,122,64,Male,2008,A,45,65,CN06-F12,0,15.9,71.498743336528,1
CN06-065,42,123,63,Male,2008,A,45,55,CN06-F12,0,11.7,51.709512046301,4
CN06-065,46,120,64,Male,2008,A,45,85,CN06-F12,0,8.4,96.6079185795898,3
CN06-065,47,117,68,Male,2008,A,45,115,CN06-F12,0,9.6,97.2685194027572,3
CN06-065,52,122,64,Male,2008,A,55,75,CN06-F12,0,3.5,83.4765650457481,4
CN06-065,38,112,61,Male,2007,A,35,55,CN06-F12,0,16.5,88.0822441925596,3
CN06-065,48,122,64,Male,2008,A,85,85,CN06-F12,0,15,69.3098080880629,7
CN06-065,43,119,61,Male,2008,A,35,95,CN06-F12,0,14,59.701287195591,6
CN06-065,45,115,57,Male,2007,A,35,85,CN06-F12,0,13.5,35.617993699691,2
CN06-065,40,116,62,Male,2007,A,235,55,CN06-F12,0,14.6,80.5180706367167,1
CN06-065,43,119,62,Male,2007,A,195,125,CN06-F12,0,10.5,56.6163983777283,4
CN06-065,40,114,56,Male,2007,A,175,85,CN06-F12,0,7.7,64.3092514901359,7
CN06-065,43,115,61,Male,2007,A,225,75,CN06-F12,0,13.2,51.5828021248257,2
CN06-065,32,109,53,Male,2006,J,285,55,CN06-F12,0,11,26.8725293950391,2
CN06-065,27,109,53,Male,2006,J,285,75,CN06-F12,0,14.8,9.70227360710937,2
CN06-065,27,109,53,Male,2006,J,295,85,CN06-F12,0,15.7,41.6950727674206,3
CN06-065,28,109,52,Male,2006,J,285,85,CN06-F12,0,8.3,18.1060533327802,4
CN06-065,14,109,39,Male,2006,J,285,115,CN06-F12,0,6.8,15.5623748726923,3
CN06-065,49,123,63,Male,2008,A,95,45,CN06-F12,0,18.1,37.4837874168449,5
CN06-065,40,116,62,Male,2007,A,205,95,CN06-F12,0,8.2,36.1948127039691,3
CN06-066,22,109,43,Male,2006,J,295,125,CN06-F13,0,8.4,10.0599141723248,3
CN06-067,20,109,48,Male,2006,J,295,135,CN06-F13,0,13,6.74043095896448,6
CN06-067,24,109,56,Male,2006,J,305,145,CN06-F13,0,7.5,51.8945806272307,5
CN06-068,23,109,48,Male,2006,J,335,135,CN06-104,0,14.5,6.25391324133333,2
CN06-069,19,109,51,Male,2006,J,305,155,CN06-053,0,10,10.0928606157513,5
CN06-071,45,109,57,Female,2006,A,385,165,CN05-F2,0,6.8,64.9247717867203,4
CN06-071,41,109,53,Female,2006,A,385,165,CN05-F2,0,11.4,74.6580040246779,4
CN06-071,44,109,53,Female,2006,A,375,175,CN05-F2,0,21.4,76.973306104426,7
CN06-071,43,109,53,Female,2006,A,385,195,CN05-F2,0,11.2,52.8711566539253,2
CN06-071,37,109,53,Female,2006,A,385,175,CN05-F2,0,8.8,56.8080983330412,2
CN06-073,30,109,53,Male,2006,J,365,115,CN06-050,0,10.7,73.3841787588899,2
CN06-073,22,109,53,Male,2006,J,395,145,CN06-050,0,13.2,29.2582058783859,4
CN06-073,24,109,53,Male,2006,J,385,155,CN06-050,0,12.1,33.233192133806,1
CN06-073,31,109,53,Male,2006,J,385,155,CN06-050,0,10.3,11.3619345009767,4
CN06-074,26,109,49,Male,2006,J,425,155,CN06-076,0,12.6,32.1609906045657,1
CN06-075,27,109,47,Male,2006,J,425,155,CN06-076,0,3.2,18.1337507079626,2
CN06-076,40,109,63,Female,2006,A,435,145,0,0,6.7,70.9356665865264,2
CN06-076,36,109,53,Female,2006,A,435,155,0,0,6.3,29.8974277691646,2
CN06-077,53,109,53,Female,2006,A,425,175,0,0,16.3,71.4527864047985,2
CN06-077,49,109,53,Female,2006,A,425,165,0,0,11.9,85.4385982382155,1
CN06-077,50,109,53,Female,2006,A,405,185,0,0,12.1,93.1442875065242,6
CN06-077,47,109,53,Female,2006,A,395,175,0,0,18.8,84.7647740057251,7
CN06-077,50,109,53,Female,2006,A,435,165,0,0,8.5,55.5199830598316,3
CN06-077,44,109,61,Female,2006,A,435,165,0,0,21.6,51.1351968249113,2
CN06-077,49,109,53,Female,2006,A,385,215,0,0,12,97.0799042160833,2
CN06-077,49,109,53,Female,2006,A,385,185,0,0,7.2,85.1222160639274,1
CN06-078,22,109,44,Female,2006,J,385,165,CN06-071,0,9.4,62.6191122320359,1
CN06-078,24,109,53,Female,2006,J,365,175,CN06-071,0,11.8,9.86445685639299,1
CN06-080,40,109,53,Female,2006,A,435,145,CN05-F4,0,9.4,65.9361866577086,0
CN06-080,40,109,53,Female,2006,A,435,155,CN05-F4,0,8.7,64.5305776805337,5
CN06-080,38,109,53,Female,2006,A,435,145,CN05-F4,0,15.7,30.7340199620259,1
CN06-080,44,109,55,Female,2006,A,435,135,CN05-F4,0,12.5,86.8876101390387,3
CN06-080,42,109,53,Female,2006,A,435,135,CN05-F4,0,14.2,67.844809521537,2
CN06-081,46,109,53,Female,2006,A,445,145,0,0,12.3,49.816375335667,2
CN06-081,51,109,54,Female,2006,A,445,135,0,0,17,91.6541771275167,4
CN06-081,47,109,53,Female,2006,A,455,125,0,0,13.5,70.6761301879218,4
CN06-081,44,109,53,Female,2006,A,445,125,0,0,19.1,91.1872569229413,4
CN06-082,27,109,49,Male,2006,J,435,115,CN06-094,0,19.9,69.5377752562286,4
